seedEbest_1,seedEbest_1_log
-4.28,4.661739537475985
-6.58,4.639764830752591
-7.03,4.635408369048701
-7.06,4.635117262356044
-5.31,4.65195834748685
-5.33,4.651767471364874
-3.36,4.6703959709057985
-6.9,4.636668853047462
-3.17,4.672174414768565
-2.5,4.678420647727684
-7.31,4.6326880720248305
-4.95,4.655387902148709
-4.01,4.66428779047118
-6.95,4.63618423951726
-6.07,4.644679319082804
-5.43,4.650812543866793
-6.04,4.644967655862158
-5.49,4.650239149355669
-4.95,4.655387902148709
-8.7,4.619073091157083
-7.42,4.6316173560029394
-1.57,4.687026632457924
-4.72,4.65757286478114
-5.61,4.649091373046019
-5.01,4.654817125877505
-1.65,4.6862892372728835
-5.65,4.648708488002574
-3.74,4.666829566374819
-3.94,4.664947390023952
-4.97,4.655197679587739
-5.94,4.6459281784602595
-4.15,4.662967284714308
-4.38,4.660794089736088
-3.04,4.673389424965235
-6.21,4.64333264708244
-5.79,4.64736723468788
-1.91,4.683888940699482
-1.27,4.68978703170797
-4.14,4.663061664403869
-6.41,4.6414056785701865
-5.02,4.654721964817339
-4.22,4.662306377358901
-5.21,4.652912181973512
-4.45,4.660131744062066
-6.34,4.642080540008188
-2.43,4.679070993827626
-5.11,4.65386510752685
-2.5,4.678420647727684
-5.13,4.653674595047707
-4.9,4.65586330030361
-4.77,4.6570982788484505
-2.07,4.682408966328894
-7.79,4.6280074198908485
-5.84,4.64688777933996
-3.55,4.668614358544626
-3.58,4.668332760945732
-5.69,4.648325456302019
-8.23,4.623697490601975
-4.41,4.6605102810212555
-1.06,4.691714787388277
-4.94,4.655482999861681
-1.69,4.685920335673201
-1.5,4.687671407499835
-7.47,4.631130287657623
-4.78,4.657003334628109
-6.67,4.638895055389712
-1.92,4.683796506443281
-6.48,4.640730361386642
-8.94,4.616703421801764
-8.15,4.624482497020464
-7.38,4.632006839941651
-5.57,4.649474111544616
-4.65,4.658236906924784
-3.11,4.672735372150515
-4.2,4.662495252607361
-5.46,4.650525887708889
-4.38,4.660794089736088
-5.68,4.648421227982406
-3.05,4.6732960150356915
-7.7,4.628886712605407
-6.4,4.641502115235482
-7.23,4.6334660551429385
-3.4,4.670021158307708
-4.73,4.657477965611436
-5.43,4.650812543866793
-6.59,4.639668226395659
-1.94,4.683611612294654
-4.76,4.657193214055243
-8.92,4.61690110886379
-3.56,4.668520501488853
-5.18,4.653198154998673
-4.85,4.656338472562491
-7.28,4.632979886627359
-6.76,4.638024522859038
-6.96,4.636087288622813
-6.01,4.645255909527377
-3.94,4.664947390023952
-5.48,4.650334737942465
-9.65,4.609660091260944
-6.66,4.638991734463602
-7.93,4.626638092603332
-6.45,4.641019838881789
-3.82,4.666077120891613
-5.51,4.650047944766177
-2.25,4.680741372835166
-1.7,4.685828089005546
-6.66,4.638991734463602
-5.33,4.651767471364874
-5.51,4.650047944766177
-5.5,4.650143551630823
-5.03,4.654626794700683
-3.36,4.6703959709057985
-4.62,4.658521361485086
-5.42,4.650908077661945
-7.27,4.6330771392411
-5.63,4.648899948849417
-3.56,4.668520501488853
-1.65,4.6862892372728835
-4.17,4.662778498608405
-4.27,4.661834033105633
-7.67,4.629179638448443
-6.51,4.64044080007001
-4.44,4.6602263917361695
-5.8,4.647271362006727
-1.36,4.688959711717774
-2.98,4.6739497013829165
-5.8,4.647271362006727
-7.49,4.630935393874117
-5.38,4.651290121601645
-3.74,4.666829566374819
-5.13,4.653674595047707
-2.66,4.676932552214982
-3.05,4.6732960150356915
-5.13,4.653674595047707
-3.59,4.6682388774550745
-4.97,4.655197679587739
-10.1,4.605170185988092
-6.8,4.637637376125593
-3.03,4.673482826170178
-4.9,4.65586330030361
-4.59,4.658805735154001
-3.09,4.67292228803891
-5.68,4.648421227982406
-3.04,4.673389424965235
-4.94,4.655482999861681
-2.48,4.678606504061274
-3.44,4.669646205172456
-4.29,4.66164503291607
-4.23,4.662211926355289
-3.91,4.665229942415754
-5.26,4.6524353784552055
-5.1,4.653960350157523
-5.67,4.648516990491457
-5.48,4.650334737942465
-6.05,4.644871552839644
-2.27,4.680555912893981
-6.44,4.641116312761561
-3.73,4.666923582263573
-3.92,4.665135767155525
-2.42,4.679163865896418
-3.83,4.6659830253846035
-2.44,4.678978113132811
-4.89,4.655958352820196
-5.19,4.6531028397433944
-3.11,4.672735372150515
-3.39,4.6701148746284735
-5.62,4.648995665528121
-0.49,4.696928611227632
-4.47,4.659942421835071
-4.85,4.656338472562491
-1.82,4.684720464746101
-7.13,4.63443768366866
-3.77,4.666547465662995
-5.38,4.651290121601645
-5.39,4.651194624299371
-3.83,4.6659830253846035
-2.15,4.681668156960816
-5.04,4.654531615525816
-4.95,4.655387902148709
-5.02,4.654721964817339
-3.46,4.6694586758704535
-3.96,4.664758977399749
-2.44,4.678978113132811
-4.93,4.655578088531937
-5.2,4.653007515402251
-7.9,4.626931677769604
-4.84,4.656433479925632
-7.5,4.630837932736669
-4.3,4.661550519424199
-4.03,4.664099253517379
-6.54,4.640151154883337
-6.04,4.644967655862158
-3.99,4.6644762918854985
-5.5,4.650143551630823
-8.3,4.623010104116422
-3.72,4.667017589314171
-4.97,4.655197679587739
-4.14,4.663061664403869
-5.68,4.648421227982406
-4.67,4.6580472255888585
-4.89,4.655958352820196
-6.0,4.645351975620923
-5.06,4.65434122999454
-4.04,4.664004971708984
-4.09,4.663533429285006
-5.64,4.6488042230081525
-5.65,4.648708488002574
-4.18,4.662684092188698
-6.35,4.641984159110808
-3.73,4.666923582263573
-5.11,4.65386510752685
-5.24,4.652626127144386
-2.05,4.682594082952895
-2.43,4.679070993827626
-6.35,4.641984159110808
-4.81,4.656718447868668
-5.98,4.645544080126364
-5.45,4.650621448892009
-6.17,4.6437175956003305
-7.09,4.634826070895602
-5.82,4.647079589065301
-4.75,4.6572881402501976
-4.66,4.658142070754197
-4.38,4.660794089736088
-5.1,4.653960350157523
-4.9,4.65586330030361
-5.02,4.654721964817339
