E_1,E_1_shifted,E_1_BoxCox
-17.9,111.04999999999998,-0.26545534719081815
-24.21,104.73999999999998,-2.110384834159453
-19.89,109.05999999999999,-0.8250574198124165
-14.05,114.89999999999999,0.7640580220145934
-18.44,110.50999999999999,-0.4153850327230899
-19.41,109.53999999999999,-0.6882833810151466
-17.12,111.82999999999998,-0.05135659617529566
-24.94,104.00999999999999,-2.3377472178652425
-10.09,118.85999999999999,1.7557887477486511
-18.3,110.64999999999999,-0.37637883188083604
-13.91,115.03999999999999,0.8002418332280549
-15.18,113.76999999999998,0.46885894112516274
-10.83,118.11999999999999,1.5753397940151823
-22.37,106.57999999999998,-1.5506434377642986
-21.47,107.47999999999999,-1.2835922951286898
-24.18,104.76999999999998,-2.1011065608343995
-20.15,108.79999999999998,-0.899629368194367
-20.55,108.39999999999999,-1.015029165024594
-22.23,106.71999999999998,-1.5088168025394495
-22.51,106.43999999999998,-1.5925762034642725
-17.8,111.14999999999999,-0.2378448148968968
-12.33,116.61999999999999,1.2027903515556868
-12.84,116.10999999999999,1.0740089182633512
-18.19,110.75999999999999,-0.34579783343323583
-19.2,109.74999999999999,-0.6288076688098626
-11.54,117.41,1.400144264707689
-17.6,111.35,-0.18276727051196945
-13.74,115.21,0.844065271689311
-20.76,108.18999999999998,-1.0759435333975436
-19.74,109.21,-0.7821909519108087
-20.3,108.64999999999999,-0.942808240197519
-19.78,109.16999999999999,-0.7936108995255324
-14.92,114.02999999999999,0.5372807004940579
-17.9,111.04999999999998,-0.26545534719081815
-18.53,110.41999999999999,-0.440510828645207
-14.53,114.41999999999999,0.639350871640759
-9.25,119.69999999999999,1.9580140021336259
-9.59,119.35999999999999,1.8764916787188433
-19.85,109.1,-0.813615244252637
-22.13,106.82,-1.4790053866564898
-10.33,118.61999999999999,1.6975027268816638
-18.89,110.05999999999999,-0.5414103628015612
-19.93,109.01999999999998,-0.8365076945511519
-9.36,119.58999999999999,1.931688063631845
-15.93,113.01999999999998,0.2697874088532407
-11.7,117.24999999999999,1.3603810287436053
-21.66,107.28999999999999,-1.3396098569346362
-19.48,109.46999999999998,-0.7081575308383532
-17.67,111.27999999999999,-0.2020226877449588
-13.46,115.48999999999998,0.9159737398635844
-9.87,119.07999999999998,1.8090184969608705
-14.26,114.68999999999998,0.7096225417993592
-19.89,109.05999999999999,-0.8250574198124165
-18.71,110.23999999999998,-0.4908811360635087
-15.4,113.54999999999998,0.4107275473954263
-16.9,112.04999999999998,0.008510306264249647
-17.31,111.63999999999999,-0.10324298074385588
-18.14,110.80999999999999,-0.3319167408669925
-12.86,116.08999999999999,1.0689364265225807
-10.44,118.50999999999999,1.6707121991457459
-13.38,115.57,0.9364572798265045
-12.33,116.61999999999999,1.2027903515556868
-9.81,119.13999999999999,1.8235027894437414
-25.26,103.68999999999998,-2.4383863058670543
-17.83,111.11999999999999,-0.24612294122613587
-20.42,108.52999999999999,-0.9774342295025545
-20.4,108.54999999999998,-0.9716581030072734
-20.69,108.25999999999999,-1.0556134154433652
-18.32,110.63,-0.38194531582696445
-23.41,105.53999999999999,-1.8647057787716772
-16.94,112.00999999999999,-0.0023577117726964903
-15.81,113.13999999999999,0.3018099283025762
-18.01,110.93999999999998,-0.29588238737370065
-13.57,115.38,0.8877641349177395
-16.76,112.18999999999998,0.046489497828468763
-16.51,112.43999999999998,0.11408255645274601
-13.62,115.32999999999998,0.8749244280203867
-18.62,110.32999999999998,-0.46567616490706315
-14.48,114.46999999999998,0.6523882687153284
-16.51,112.43999999999998,0.11408255645274601
-18.11,110.83999999999999,-0.3235938839881596
-24.63,104.32,-2.240821105922619
-9.98,118.96999999999998,1.782427359794288
-16.88,112.07,0.01394150894391738
-13.32,115.63,0.9518019921372952
-14.1,114.85,0.7511146106937908
-7.78,121.16999999999999,2.305397836491289
-16.66,112.28999999999999,0.07356156016002385
-14.22,114.72999999999999,0.7200060245230379
-21.2,107.74999999999999,-1.2043162329682446
-14.52,114.42999999999999,0.6419592302685716
-18.31,110.63999999999999,-0.3791618311968972
-20.61,108.33999999999999,-1.0324100261812523
-15.66,113.28999999999999,0.3417460515365539
-15.16,113.78999999999999,0.47413286123606435
-20.02,108.92999999999999,-0.8623004704595782
-17.08,111.86999999999999,-0.04045481088931372
-15.09,113.85999999999999,0.4925775070807482
-21.82,107.13,-1.386931194825598
-18.61,110.33999999999999,-0.4628780608864586
-15.21,113.73999999999998,0.4609447064245048
-16.87,112.07999999999998,0.01665640912651687
-16.93,112.01999999999998,0.00035999462698157867
-12.93,116.01999999999998,1.0511694209014681
-8.94,120.00999999999999,2.031954805055409
-8.19,120.75999999999999,2.2093288966660487
-22.25,106.69999999999999,-1.5147855538189194
-18.08,110.86999999999999,-0.31527537189079863
-18.77,110.17999999999999,-0.5077065163854453
-18.4,110.54999999999998,-0.4042306796123143
-14.8,114.14999999999999,0.568758562716254
-13.28,115.66999999999999,0.9620232692023672
-20.69,108.25999999999999,-1.0556134154433652
-19.99,108.96,-0.8536983116712548
-19.46,109.48999999999998,-0.7024767009996643
-13.66,115.28999999999999,0.8646449277858208
-16.12,112.82999999999998,0.21895071819457174
-13.01,115.93999999999998,1.030838931526693
-19.18,109.76999999999998,-0.6231547640781736
-19.34,109.60999999999999,-0.6684337179030322
-18.53,110.41999999999999,-0.440510828645207
-23.61,105.33999999999999,-1.9257880689735292
-18.98,109.96999999999998,-0.5667348090154024
-15.19,113.75999999999999,0.46622131027801683
-16.87,112.07999999999998,0.01665640912651687
-13.3,115.64999999999999,0.9569134832077074
