Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
GradientBoosting,Without Pu2_1,0.5934640522875817,0.10932044197152982,0.6124975024975025,0.13990640165393176,0.6083333333333333,0.18181186857726192,0.5925867269984917,0.11510205942237732,"[0.18900996 0.38008382 0.74068584 0.62133018 0.48683674 0.59468075
 0.084798   0.06599528 0.71991924 0.7543576  0.67241681 0.19310887]"
SVM,Without Pu2_1,0.6039215686274509,0.10330933233191755,0.6231746031746032,0.1487924011312968,0.5777777777777777,0.07535922203472518,0.5954334365325078,0.10076246052144121,"[0.04739664 0.02016614 0.12896951 0.12245899 0.04146491 0.07632877
 0.03727858 0.02721759 0.07083203 0.06563988 0.12038513 0.05481882]"
LogisticRegression,Without E_hybrid_1,0.5790849673202614,0.11841434611914524,0.5723809523809523,0.11760437326792314,0.6027777777777776,0.14740554623801774,0.5852631578947369,0.1283496643258048,"[0.08635773 0.02825638 0.07086617 0.22563698 0.03313586 0.15662648
 0.02826059 0.02862271 0.03634259 0.0991767  0.1037469  0.03504718]"
RandomForest,Without E_hybrid_1,0.6176470588235295,0.07892004626469848,0.6528571428571428,0.10034125446165588,0.5361111111111111,0.060603956192420656,0.5858220211161388,0.06434326205922125,"[[0.01953474 0.01953474]
 [0.05027059 0.05027059]
 [0.02131543 0.02131543]
 [0.04253159 0.04253159]
 [0.02856254 0.02856254]
 [0.04189077 0.04189077]
 [0.00891054 0.00891054]
 [0.00420603 0.00420603]
 [0.04292983 0.04292983]
 [0.04795264 0.04795264]
 [0.04666605 0.04666605]
 [0.0124634  0.0124634 ]]"
GradientBoosting,Without E_hybrid_1,0.48888888888888893,0.11680160995392774,0.5096031746031746,0.15056716491793135,0.41944444444444445,0.05853140973807077,0.4566716943187532,0.08888719630573692,"[0.23701035 0.64922032 0.38520674 0.52076975 0.56269737 0.67035298
 0.03988605 0.02505423 0.701483   0.71311142 0.61924836 0.18562109]"
SVM,Without E_hybrid_1,0.6620915032679738,0.10291990650679582,0.6747619047619048,0.12257257556720891,0.6499999999999999,0.0816496580927726,0.6608255933952527,0.09813662207991337,"[0.0709477  0.03147336 0.04361333 0.13584    0.04466264 0.10600358
 0.03959074 0.02333814 0.07172157 0.07646201 0.14573604 0.06610561]"
LogisticRegression,Without seedNumber_1,0.5215686274509803,0.08465503194087412,0.519977244977245,0.09153397210670047,0.5805555555555555,0.1606314699422329,0.5403968253968253,0.1055025526313984,"[0.12243522 0.02394037 0.09161646 0.19255627 0.03589294 0.14997595
 0.03528924 0.03622118 0.04454129 0.08662729 0.10934422 0.03534854]"
RandomForest,Without seedNumber_1,0.603921568627451,0.048665386847022964,0.6333333333333332,0.06666666666666665,0.5361111111111111,0.09279607271383371,0.572063492063492,0.0494423424353823,"[[0.02386204 0.02386204]
 [0.04045872 0.04045872]
 [0.02258376 0.02258376]
 [0.04809955 0.04809955]
 [0.02519534 0.02519534]
 [0.03340152 0.03340152]
 [0.0081171  0.0081171 ]
 [0.00656404 0.00656404]
 [0.03924502 0.03924502]
 [0.04759493 0.04759493]
 [0.0504558  0.0504558 ]
 [0.01461456 0.01461456]]"
GradientBoosting,Without seedNumber_1,0.5222222222222223,0.1388392837213555,0.5371428571428571,0.16674555955902715,0.5166666666666666,0.18392161508052052,0.5135103596094308,0.1435820543642351,"[0.17254373 0.44732858 0.38524859 0.5753566  0.4902116  0.52190383
 0.04313057 0.05258045 0.76338491 0.78464732 0.55639195 0.23590315]"
SVM,Without seedNumber_1,0.6509803921568628,0.12363829623870154,0.6771428571428573,0.14999319712464781,0.625,0.09541980020732037,0.6445906432748538,0.11004645359407894,"[0.04201361 0.01963109 0.03825748 0.15107179 0.06078165 0.07661016
 0.03197542 0.0364286  0.08094912 0.05604673 0.13391832 0.04561869]"
