E_1,Etotal_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
0.0031130513219272448,0.0029707583822364716,0.000994999348058905,0.01212534584451742,0.004420654592114791,0.007437720509992028,0.0015722644095121667,0.002454747579260875,0.0025876094563433366,0.0008171364256813095,0.002388301672620391,0.0011391532108688685,0.005125516845988159,0.005617723900739761,0.001352253247437745
0.004262156001248623,0.0022259429226596595,0.002585471559410961,0.0015027345151848517,0.0032295348295201067,0.004415990161460525,0.0019376903863663193,0.0015760921518482092,0.0056341961308919,0.0005413945083923606,0.0014202345396776967,0.002722405817300784,0.0014209625253271785,0.004418593538337012,0.004297272595136346
0.0028100131004305255,0.0019671164424382237,0.0017130586890388485,0.008222054474961207,0.0026705320335059556,0.006215887799732448,0.001976012353161018,0.0018069598016280965,0.003764703961549649,0.0008241912166235246,0.010673136493160925,0.0014674072497108221,0.0016990902503036512,0.0034578662086608833,0.003104115045707486
0.004793229997038765,0.0027140440391284545,0.0023714726230788605,0.009280870107953407,0.0009030095069458015,0.0060669748023042995,0.0024872094570812285,0.001364292169178781,0.006400830713388881,0.0008357669893075498,0.005845018151476789,0.0040789411111284415,0.01321062955326858,0.005578408537562721,0.0022714511096010486
0.0033337837450444115,0.0018956967143893614,0.0017464323883006109,0.0028489088717416717,0.001267755151373742,0.004737170590184987,0.0007135273924083917,0.0013210040873309254,0.002201725247803919,0.0011156039736137002,0.002328571971449365,0.0026479317368995055,0.001677894771384654,0.001957517253056339,0.007940590125035509
0.0023132496488721464,0.003679809114633535,0.0016647592623154272,0.004371238759521554,0.00274670951819259,0.007652791906560096,0.0008301266911209507,0.001238129448193805,0.003954977543934767,0.00023823145930017194,0.002670891144914512,0.002722016880571475,0.002551976376174859,0.005081186495055658,0.012890919866541445
0.0020824341776147087,0.0016849391095825122,0.0012165533140439946,0.0037717231291370494,0.001608348957179587,0.002455239832284947,0.0012073087563133139,0.0011633474599226287,0.002482080306153338,0.0005935700795167985,0.0019390732989487333,0.0019095796661451308,0.0012705299851005127,0.00828543093625472,0.0028482709643364475
0.013384890875787743,0.0036957840644670655,0.002582891624817364,0.0019245165758958692,0.0025136928440440934,0.012041772120483744,0.0026671538550578984,0.0012682644990011929,0.00690636758446754,0.0004248199271152875,0.0014936889804489965,0.005461834745464922,0.0021994117200172976,0.0025485304956502273,0.003486793433212063
0.002497689023728877,0.0021701886760545374,0.0020061817803742566,0.005356172386099298,0.0021026251187042694,0.005159267077269711,0.0019292080251053184,0.007370181346212405,0.0025305086849208135,0.0003402709317045729,0.000733378804653349,0.0012234929716554914,0.00268975665689801,0.0023519007158892143,0.004189977739927346
0.0021082748351796596,0.0021379156210834614,0.001995762690376411,0.0036205044990086687,0.00405055662362391,0.0023091754863693477,0.0015270278479842328,0.001724503144742261,0.0025864916568797275,0.0007437853765170702,0.0013774638894253582,0.0018497536083148178,0.00103008042318737,0.006604466459983863,0.005060275600832361
0.004116948929067736,0.003232342269934116,0.001755104999630305,0.014739169425671711,0.004169879615045211,0.008826295793501946,0.0025578687064116137,0.0018955655906283079,0.004257954292364303,0.0008124255687256223,0.0010023965138828504,0.0032066179552401163,0.00183107700232064,0.003406396411598443,0.007977499132601498
0.0022623774119058214,0.0032926308453610584,0.0012130071156135588,0.002847370475121569,0.0011036622022983554,0.007221584895239787,0.0013519168995901564,0.003151112364104723,0.002186983599219042,0.00032341836961577376,0.008067523837337555,0.0022965981455816283,0.0025920353994318746,0.003580378040575394,0.003755400300683845
0.003992422894015641,0.002922782645808411,0.0011052938665186036,0.002606573801291117,0.0011765732548558421,0.007864189105023508,0.0017977427133140913,0.001279811140026182,0.003046527159046032,0.0004504109293198728,0.016784466863926092,0.0025264341935558126,0.0008357392843420184,0.006665344939768058,0.0027123990409118467
