feature,mean,sd
E_1,-14.991271186440677,3.591787771558172
Pu1_1,0.004169397576824382,0.011902854113088729
Pu2_1,0.06833605114421841,0.17117547056982454
E_hybrid_1,-25.144491525423728,5.4216427001697225
seedNumber_1,7.805084745762712,2.184868219837507
seedEbest_1,-5.095677966101695,1.8001716341787555
E_3,-8.541949152542372,3.735698943395069
seedNumber_3,3.2711864406779663,1.4000062084670186
E_diff_12,-0.057203389830508496,0.2743722768670282
pumin1_4u,0.24490768681355932,0.20697199913285083
pumin5_8u,0.2654818610254237,0.21998611593491554
pumin1_4d,0.24088120622033898,0.21551437600784148
pumin5_8d,0.20848582763559323,0.17908101896929499
