feature,mean,sd
E_1,-16.187375,3.0676823989182633
Pu1_1,0.0020956340474697125,0.008087793528359626
Pu2_1,0.04330002292522215,0.12180736576649319
E_hybrid_1,-27.3995,4.325315500309219
seedNumber_1,8.2125,1.978963735987709
seedEbest_1,-5.5465,1.6158981513211277
E_3,-8.351,4.057882343528956
seedNumber_3,3.2125,1.4468975976992458
E_diff_12,-0.07787500000000003,0.32682474593727145
pumin1_4u,0.21303301425,0.18248566332564223
pumin5_8u,0.2330808469,0.20680113378906465
pumin1_4d,0.226438967,0.218974291841318
pumin5_8d,0.21301372498749999,0.1900493906816212
