Feature,Group,Mean,Std,Weight_Percentage,Correlation
pumin5_8d,EXTRA,0.19895341215789475,0.15541707924756645,10.63,0.3218531513434333
E_diff_12,EXTRA,-0.013684210526315802,0.0843551389879966,5.8,0.17573824297779972
pumin5_8u,EXTRA,0.3336945223421053,0.23381191652100955,3.79,0.11493975355918538
pumin1_4u,EXTRA,0.312012260631579,0.23986493564245487,3.45,0.1044350966182273
pumin1_4d,EXTRA,0.2712859203684211,0.2075851814944193,2.72,0.08240667452243991
seedNumber_1,GROUP_1,6.947368421052632,2.3703958891729986,14.19,0.42985360524590577
Pu1_1,GROUP_1,0.008535215533360526,0.01671736841566833,5.12,0.15509305647033395
seedEbest_1,GROUP_1,-4.146578947368421,1.8187020562133143,9.66,-0.2926135707557973
Pu2_1,GROUP_1,0.12104347897368423,0.23825861369535312,10.72,-0.32477840453213264
E_hybrid_1,GROUP_1,-20.397105263157897,4.343139297972514,13.68,-0.4143170889975468
E_1,GROUP_1,-12.47315789473684,3.3310960011668898,14.13,-0.4278997426844509
seedNumber_3,GROUP_3,3.3947368421052633,1.3056938444224706,4.03,0.12209453673236687
E_3,GROUP_3,-8.943947368421053,2.9540769258165125,2.08,-0.06298604736525956
