feature,mean,std
E_1,-16.320263157894733,4.0355303659223845
Pu1_1,0.022425852483078944,0.11383709549896545
E_hybrid_1,-27.239210526315794,6.688270645297712
seedNumber_1,8.631578947368421,1.9371343090856399
seedEbest_1,-4.6626315789473685,2.1237291070324624
seedNumber_3,3.3684210526315788,1.403105679431495
E_diff_12,-7.3128947368421064,2.5279891676713024
pumin1_4u,0.21559230105263152,0.23995705033975026
pumin1_4d,0.25775542405405405,0.26146115509931744
pumin5_8d,0.2918735356756757,0.27137312260604546
