Metric,Mean,Std
Accuracy,0.5941520467836258,0.1001759677443923
Precision,0.6012154512154513,0.13214725401466362
Recall,0.6133333333333334,0.16958919136301256
F1,0.5950828157349897,0.11777831743433245
