,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
mean,-14.991271186440676,0.004169397576824382,0.06833605114421842,-25.144491525423728,7.805084745762712,-5.095677966101696,-8.541949152542374,3.2711864406779663,-0.0572033898305085,0.24490768681355932,0.26548186102542376,0.24088120622033898,0.20848582763559328
std,3.591787771558172,0.011902854113088729,0.17117547056982454,5.421642700169722,2.1848682198375076,1.8001716341787553,3.7356989433950694,1.4000062084670188,0.27437227686702814,0.20697199913285083,0.21998611593491554,0.2155143760078415,0.17908101896929499
