y_pred,reliability_score
1,0.5104066926099359
0,0.4201332836043252
0,0.4839070028870943
1,0.5207930045461696
1,0.5421940651979171
1,0.5332941405353593
1,0.5199778470094908
1,0.5862250034080877
1,0.5167253545220386
1,0.5242712450217019
0,0.30824092529142527
0,0.42388646467342184
1,0.6382355458997797
1,0.5183923608573233
0,0.4112445500938764
1,0.6005884894339095
0,0.3735396051389628
0,0.42582468932137413
1,0.5952033453838963
0,0.4037348501049925
0,0.31951311905719604
1,0.6630833826048111
1,0.5783027399008204
0,0.34165680293623146
1,0.5490889482629256
1,0.5423908395107897
1,0.5668671586422507
0,0.4086469164896887
0,0.4496176072904981
0,0.4144232259626749
1,0.5753870284236663
1,0.6836445672013667
0,0.37779480628946804
0,0.47293836644045373
1,0.5521002166331862
1,0.5920019805462675
1,0.6327367656725271
1,0.5487013612286484
1,0.6134535598540463
1,0.7029693117909435
