y_pred,reliability_score
1,0.575083157937814
0,0.4204145015480126
1,0.5081078332610116
1,0.5095005665011872
1,0.5164633683484393
1,0.5092699043164384
1,0.572720823842796
1,0.6584004565483692
1,0.5303779406551646
1,0.5534411045167522
1,0.5460551189251865
1,0.5248273838133667
1,0.6831636056627692
0,0.5
0,0.41848348769502913
1,0.6294095347254333
0,0.43777352953350046
0,0.40364866775447106
1,0.5909517031810205
0,0.4451817134840384
0,0.34585182187195773
1,0.6817816372403747
1,0.5560122986212819
0,0.3822894823039282
1,0.5499701188741607
1,0.5124048653578177
1,0.5287820005208089
0,0.3861324977624843
0,0.41315145077458404
0,0.4003238212233134
1,0.5370103066068195
1,0.653341630672426
0,0.41819775361884115
1,0.51448266483994
1,0.5425025387469827
1,0.6339837912858624
1,0.604212482176347
0,0.4202058578878373
0,0.42582825226961657
1,0.7052352575013956
