E_hybrid_1,E_hybrid_1_log
-33.97,2.976549454137217
-34.09,2.970414465569701
-24.58,3.367640598133313
-37.03,2.8069901489571136
-30.68,3.1315734964654043
-33.74,2.9882040071331994
-27.53,3.260401571696699
-37.65,2.7688316733620693
-23.5,3.404192890641954
-35.26,2.908539061851614
-37.3,2.7905514226139543
-28.6,3.2184757448468613
-24.83,3.358985532852846
-30.73,3.129388658366665
-31.41,3.099190981922221
-35.73,2.882563575448353
-30.82,3.1254438800756486
-26.36,3.3043193066856684
-30.55,3.1372318358276905
-43.59,2.302585092994046
-25.21,3.3456846717318967
-24.66,3.364879118988044
-22.86,3.4252393761423936
-30.18,3.1531632815028194
-37.28,2.7917784166329227
-19.58,3.5266545990191043
-33.25,3.012589390620414
-25.48,3.3361253849184407
-30.16,3.1540172525197043
-28.71,3.2140642678709788
-30.36,3.145444546782318
-28.02,3.2414197893030954
-28.72,3.2136622578153133
-30.51,3.138966441639899
-31.11,3.1126260250254907
-27.23,3.2718477096343066
-21.65,3.4638591427868666
-17.54,3.584906863730958
-29.4,3.1859393246219363
-34.67,2.9402195636237325
-23.92,3.3901364343027307
-31.38,3.100542637906336
-30.77,3.12763734443393
-27.62,3.256942025674657
-28.21,3.2339614622862416
-15.12,3.6498787167642037
-27.01,3.2801590532850993
-31.12,3.112181086197238
-30.92,3.1210424645194377
-29.89,3.1654750481410856
-28.35,3.2284300376730126
-25.42,3.338257581888281
-31.15,3.110845080654496
-26.11,3.313458467354149
-23.12,3.416742592997618
-26.4,3.3028492586443794
-31.18,3.1095072878128356
-30.44,3.1419947805322432
-24.62,3.366260811781259
-20.12,3.510649515223235
-22.4,3.440097530619712
-23.77,3.3951793093365925
-23.79,3.3945083935113587
-30.44,3.1419947805322432
-31.55,3.092858984284714
-36.53,2.8367365420635333
-31.57,3.0919511312945342
-32.34,3.056356895370426
-26.37,3.30395199722332
-34.46,2.951257783452162
-30.73,3.129388658366665
-31.38,3.100542637906336
-27.13,3.2756341586868096
-31.49,3.0955776085237074
-29.8,3.1692653243148663
-24.9,3.3565486299932736
-18.73,3.551340040091875
-31.55,3.092858984284714
-29.04,3.20071185424053
-25.88,3.321793358874887
-26.49,3.2995337278856556
-31.62,3.089677886396519
-23.71,3.397189360264617
-23.2,3.414113606928702
-31.06,3.114847754444153
-31.41,3.099190981922221
-25.01,3.3527071725017215
-28.07,3.239462458476589
-17.51,3.585738695194423
-35.86,2.8752581200861167
-31.42,3.09874002362822
-27.26,3.270708973508218
-35.64,2.887590114934288
-27.07,3.277899165317662
-36.39,2.8449093838194077
-26.47,3.3002714630721948
-23.07,3.4183822064162563
-20.75,3.4916472845842277
-38.08,2.7414849771884477
-27.31,3.26880819361641
-32.85,3.0320642028013816
-31.41,3.099190981922221
-33.46,3.0022112396517002
-22.2,3.4464893708538624
-24.47,3.3714252233284854
-17.72,3.5799012915441915
-35.67,2.8859174075467844
-28.88,3.207208020000519
-27.93,3.2449333591874905
-28.33,3.229222116922345
-26.34,3.305053521109253
-29.4,3.1859393246219363
-34.86,2.9301265164559975
-31.45,3.097385927280491
-24.08,3.3847291889548483
-31.84,3.0796137575346934
-25.99,3.3178157727231046
-25.45,3.337192051686243
-30.56,3.136797713832594
-30.8,3.126321843257593
-26.55,3.2973172511747633
-33.89,2.980618635743943
-29.18,3.194992884404869
-23.74,3.3961848398386114
-30.82,3.1254438800756486
-21.89,3.456316680883235
-31.63,3.08922261664133
-35.25,2.909084466828319
-19.0,3.5435646229490776
-29.84,3.1675825304806504
-23.92,3.3901364343027307
-27.14,3.2752561583043085
-28.26,3.231989464013584
-33.58,2.9962321485956425
-24.6,3.3669509429335642
-26.32,3.3057871968574974
-34.46,2.951257783452162
-30.38,3.144583220286346
-22.83,3.4262151446374434
-33.88,2.9811261211646287
-31.67,3.087399462079815
-30.06,3.1582762027392715
-28.67,3.2156706939192525
-23.91,3.39047341829918
-32.93,3.0281994636914926
-31.21,3.108167702883779
-24.0,3.3874364664121184
-27.32,3.2684276036974484
-27.21,3.2726061472891685
-25.42,3.338257581888281
-30.43,3.1424266527047946
-23.88,3.3914836894745166
-35.41,2.9003220887493333
-26.3,3.3065203347202474
-33.73,2.988707658617027
-20.83,3.4892082589848687
-30.24,3.1505969841149066
-24.02,3.386760333864386
-24.26,3.3786108829893595
-29.25,3.1921210875593813
-23.25,3.4124669739203863
-24.31,3.376904689093111
-27.08,3.2775220203009345
-18.13,3.568405300646062
-29.18,3.194992884404869
-30.11,3.1561489949598958
-30.4,3.1437211512674406
-23.34,3.4094961844768505
-27.66,3.255400599550573
-32.67,3.040705639196722
-27.82,3.249211024664274
-29.7,3.173459961337718
-23.51,3.403860499081639
-28.33,3.229222116922345
-29.7,3.173459961337718
-26.97,3.2816628129669656
-28.5,3.222469360378331
-30.63,3.133753571451366
-25.88,3.321793358874887
-24.15,3.3823542938606757
-24.54,3.3690184832979204
-25.1,3.349553148509817
-24.8,3.3600281046240847
-29.1,3.1982648709640764
-28.37,3.2276373305367736
-19.22,3.5371840908617425
-27.77,3.2511493854184965
-22.76,3.428488241898059
-30.93,3.1206012555998606
-30.41,3.1432898379116057
-31.36,3.101442727976105
-36.35,2.8472322652355473
-31.31,3.1036894150590837
-32.74,3.0373539482448106
-34.79,2.9338568698359038
-20.79,3.4904285153900982
-27.4,3.2653776585196206
-36.22,2.854744580253014
-31.78,3.082368580213538
-30.33,3.1467351470905185
-31.26,3.1059310658520665
-23.33,3.40982670836021
-19.76,3.521347982792617
-19.72,3.5225296668296804
-31.78,3.082368580213538
-31.36,3.101442727976105
-28.2,3.2343553957165874
-36.76,2.823163008202715
-30.08,3.157425862551978
-29.63,3.1763857732472487
-26.08,3.3145495749364833
-28.82,3.209633243501268
-31.62,3.089677886396519
-17.44,3.587676948604774
-21.1,3.480932349681009
-23.94,3.3894621254437345
-33.26,3.0120976276402556
-31.24,3.106826321059578
-32.66,3.0411835364579085
-36.68,2.827905162910489
-24.46,3.3717685709713434
-34.34,2.9575110607337933
-24.21,3.380314170745731
-36.56,2.834976494674597
-28.49,3.2228678461377385
-33.55,2.9977302762166644
-30.02,3.15997471694804
