seedNumber_3
0
4
2
2
1
4
0
4
4
2
2
4
1
2
4
2
4
4
4
2
4
0
1
4
4
2
4
3
4
4
4
4
2
4
4
4
4
1
4
4
2
4
4
2
4
6
4
2
4
0
4
4
2
4
4
4
4
0
2
4
4
4
2
4
4
1
0
2
4
1
2
2
4
2
2
0
4
0
4
4
4
4
2
4
4
0
1
1
2
4
2
4
4
4
1
2
4
4
4
4
1
2
4
4
1
4
4
2
4
1
4
2
2
4
2
0
4
4
4
4
4
4
4
4
0
4
4
4
4
4
4
2
4
4
2
4
4
4
4
2
4
4
4
2
2
6
4
2
2
0
4
4
0
4
2
4
0
4
4
2
4
4
0
4
4
0
4
4
4
4
4
4
4
4
2
4
0
4
4
4
4
4
4
4
0
4
4
4
6
4
2
0
1
4
4
4
4
1
4
2
2
4
10
2
4
4
4
1
2
4
6
4
4
4
4
4
0
1
6
0
0
2
6
2
4
4
0
