Y
0.1
0.15
0.21
0.45
0.41
0.31
0.58
0.33
0.3
0.77
0.33
0.55
0.74
0.07
0.29
0.46
0.14
0.22
0.09
0.62
0.29
0.23
0.22
0.45
0.42
0.46
0
0
0
0
0
0
0
0
0
0
0
0
