feature,mean,std
E_1,-16.8143612334802,3.70360012748828
Pu1_1,0.00386839063132315,0.00876173817856928
Pu2_1,0.0123355011509028,0.0667426085527343
E_hybrid_1,-28.5197797356828,4.76311486588401
seedNumber_1,8.37444933920705,2.5858462661661
seedEbest_1,-4.90176211453745,1.72014340721644
E_3,-8.85867841409692,4.41140898343531
seedNumber_3,3.05286343612335,1.56477491209297
E_diff_12,-8.15850220264317,2.23320822710615
pumin1_4u,0.361770028269163,0.272953540745652
pumin5_8u,0.271348412784141,0.241853110779549
pumin1_4d,0.260072055105727,0.232690244042691
pumin5_8d,0.239206449225551,0.226298031582116
