Pu2_1,Pu2_1_log
8.73754e-09,-18.555637151428435
0.000197424,-8.530156857808096
0.0730347,-2.616820608307434
5.1609e-11,-23.687325040045536
1.86048e-05,-10.89209094602191
5.90949e-07,-14.341536117680134
0.00289328,-5.845364472327605
0.000200808,-8.513161330302866
5.76147e-08,-16.66948809347134
1.68056e-07,-15.598968579753032
1.90921e-08,-17.773991200020543
1.75327e-06,-13.254027942208172
1.2805e-07,-15.870845024300877
0.00337138,-5.692433122889326
0.000958762,-6.949867689063875
7.0629e-06,-11.860654825927398
8.23001e-06,-11.707723328209205
0.00983393,-4.621916628179204
0.000155627,-8.768048439422259
3.64152e-08,-17.128279567049407
0.000112686,-9.090905368237419
3.86418e-07,-14.76634615184211
7.00229e-05,-9.566688226557329
1.79876e-07,-15.530998112338072
2.06118e-09,-19.999987202607134
0.000556623,-7.493622387412177
3.73507e-07,-14.800329090915962
0.000172331,-8.666093511867453
0.000312357,-8.07136379351865
0.000851242,-7.068814098488913
0.00367033,-5.607473702701932
0.00192432,-6.253182620401968
4.81941e-07,-14.545444137027118
0.000166573,-8.700076906191384
3.70301e-06,-12.506364555523348
3.89668e-06,-12.455385649426288
2.02546e-05,-10.807128629714937
3.99678e-05,-10.12743642803683
0.000105282,-9.158868093607222
6.11227e-05,-9.702627238689043
2.24341e-07,-15.310098621219433
0.000184451,-8.598126712412839
0.00611077,-5.097702490825596
3.86608e-11,-23.976194949139497
0.00075578,-7.187760229426003
0.386134,-0.9515708195009484
0.0100025,-4.604920217232884
1.66614e-06,-13.305000984136804
3.73415e-05,-10.195405249259581
8.51869e-10,-20.88358835678942
8.96421e-10,-20.832610947234684
8.80884e-06,-11.639754795243707
4.27894e-07,-14.664390335589697
0.000438779,-7.731514688502403
0.000175284,-8.6491030423076
9.67061e-05,-9.243834075798626
7.75386e-05,-9.464734681081806
7.18394e-06,-11.84366257889235
0.000200808,-8.513161330302866
3.40139e-06,-12.591326386358316
5.80849e-05,-9.753604824615193
2.04299e-06,-13.101096136903372
0.000403039,-7.816477226506363
0.0694049,-2.667797808774487
1.09891e-07,-16.023776871519882
7.12404e-07,-14.154620670723535
5.56759e-06,-12.098548272700821
1.55665e-06,-13.37297448164701
0.0163726,-4.112146073088
2.8215e-06,-12.778241899537216
5.56759e-06,-12.098548272700821
4.06628e-07,-14.715367074375008
0.00170852,-6.372127780302437
1.46659e-05,-11.129985486807662
3.04609e-07,-15.004236849975037
0.00386229,-5.556495007168356
0.00465609,-5.369579238842913
8.5861e-05,-9.362780848368692
1.78376e-08,-17.841957247992386
9.03515e-05,-9.311802938960916
0.00392848,-5.539502696363011
0.00788481,-4.842817155243
4.902e-07,-14.528452365852399
0.0019573,-6.236189306455796
3.7674e-08,-17.094295635586384
3.93137e-09,-19.354277871303374
8.3731e-08,-16.295656557650787
1.45436e-06,-13.440944616651679
0.121596,-2.107051204727956
1.95826e-07,-15.446039327105867
1.41828e-09,-20.373820967116398
4.85993e-06,-12.234486523447782
3.70301e-06,-12.506364555523348
0.00011858,-9.039922719685052
7.95892e-10,-20.95155761768127
0.216685,-1.5293105929556283
0.0214878,-3.840269946765047
0.00950534,-4.655901533034471
1.20671e-08,-18.232783095825393
0.000218614,-8.428202940356732
2.30161e-08,-17.58707186590299
1.68056e-07,-15.598968579753032
6.88769e-09,-18.793530076640973
0.000556623,-7.493622387412177
1.50538e-10,-22.61680557191593
9.11336e-06,-11.60576908922528
0.000138174,-8.88699679747034
9.92149e-06,-11.520807446333722
2.61348e-05,-10.552242798401847
3.79814e-05,-10.178413991753446
1.3359e-06,-13.525905335950645
4.28104e-11,-23.87424005220404
2.16791e-05,-10.739161895169643
0.0012583,-6.677993675366352
0.815537,-0.2039084870122236
6.32822e-11,-23.48341702695464
7.3685e-05,-9.515711307299048
0.000116582,-9.056915669892723
0.0207698,-3.874255270413468
1.56974e-05,-11.062015464419591
2.99403e-05,-10.416305158982912
2.61348e-05,-10.552242798401847
5.80849e-05,-9.753604824615193
0.000424117,-7.765501197401466
2.57007e-07,-15.174162515068035
0.000991905,-6.915883221394302
3.28774e-06,-12.625310159322758
4.57876e-05,-9.991497245859541
0.00354769,-5.641458591520044
4.38994e-08,-16.941365184384654
0.00392848,-5.539502696363011
2.26227e-06,-12.999141823998363
6.16518e-06,-11.996593224693902
0.000975193,-6.93287515783774
2.70382e-05,-10.518259877052598
7.49478e-05,-9.498718686748408
1.49209e-07,-15.717917829280214
4.85993e-06,-12.234486523447782
0.00348792,-5.6584497089782495
2.36073e-07,-15.2591247577171
0.000494201,-7.612568240939533
9.11336e-06,-11.60576908922528
0.013814,-4.282072708315356
4.9032e-09,-19.133377783757027
4.65952e-09,-19.18435339840601
1.78332e-06,-13.237033762387933
3.92944e-05,-10.144428542880918
2.70448e-07,-15.12318599373859
7.88674e-05,-9.447742596737413
8.51869e-10,-20.88358835678942
1.90874e-06,-13.169067219458071
0.173737,-1.750212617480287
