,seedNumber_1,pumin5_8d,pumin1_4u,pumin1_4d,E_diff_12,E_1,seedNumber_3,Y
seedNumber_1,1.0,0.09623428591953673,-0.08193679580556162,0.03491737846333412,0.16405208649230177,-0.6240142439647184,0.2859694579227596,0.2812102971473875
pumin5_8d,0.09623428591953673,1.0,-0.011306545156973165,0.3216911717758553,-0.028436136325464854,-0.017241389573871627,0.06383524035893436,0.19767541461945057
pumin1_4u,-0.08193679580556162,-0.011306545156973165,1.0,-0.06493947194507915,0.012536097192864729,0.1054452905230547,0.025905846239052066,-0.07269938212328188
pumin1_4d,0.03491737846333412,0.3216911717758553,-0.06493947194507915,1.0,-0.046253494990181804,0.04532681447681755,0.13497054272972225,0.24414541824859148
E_diff_12,0.16405208649230177,-0.028436136325464854,0.012536097192864729,-0.046253494990181804,1.0,-0.23023533867567164,0.07768539514525963,-0.10981704589890479
E_1,-0.6240142439647184,-0.017241389573871627,0.1054452905230547,0.04532681447681755,-0.23023533867567164,1.0,-0.14272142638705135,-0.15963444349869002
seedNumber_3,0.2859694579227596,0.06383524035893436,0.025905846239052066,0.13497054272972225,0.07768539514525963,-0.14272142638705135,1.0,0.1438890391065893
Y,0.2812102971473875,0.19767541461945057,-0.07269938212328188,0.24414541824859148,-0.10981704589890479,-0.15963444349869002,0.1438890391065893,1.0
