feature,mean,sd
E_1,-16.1908115942029,3.7615807123706833
Pu1_1,0.003971343731523574,0.009931880455978417
Pu2_1,0.031489312452964366,0.11661955703280484
E_hybrid_1,-27.365333333333332,5.241540744842585
seedNumber_1,8.179710144927537,2.4677324417594177
seedEbest_1,-4.968086956521739,1.747740848584804
E_3,-8.750347826086957,4.1897769957378586
seedNumber_3,3.127536231884058,1.5119566156307904
E_diff_12,-5.387623188405797,4.256169069515207
pumin1_4u,0.32179972017710146,0.2580681854432085
pumin5_8u,0.26934188203768117,0.23429855065241192
pumin1_4d,0.2535082285304348,0.22683067771836232
pumin5_8d,0.2286991061889855,0.21157703620323623
