Metric,Mean,Std
Accuracy,0.7046666666666667,0.06213247495830535
Precision,0.6856476856476856,0.09982947886791625
Recall,0.7212121212121213,0.16558880111896063
F1,0.6874010005588953,0.08570270870127497
