feature,mean,std
E_1,-17.18611764705882,3.8204983139568034
Pu1_1,0.004596856932316471,0.015325683033562207
E_hybrid_1,-27.779176470588236,5.404463149358418
seedNumber_1,8.282352941176471,2.1414934970153663
seedEbest_1,-4.736117647058823,1.5805816395642875
seedNumber_3,2.7058823529411766,1.7581343562327159
E_diff_12,-7.743411764705883,2.3254469887483973
pumin1_4u,0.23912042309411766,0.2227237013736969
pumin1_4d,0.20179521602380954,0.16938416764998704
pumin5_8d,0.24115372931325307,0.2158582725126771
