pumin1_4u,pumin1_4u_log
0.3303994,-1.1074530533175924
0.1346798,-2.004855169691851
0.4357253,-0.8307432800669692
0.0112091,-4.49102933058053
0.1467743,-1.918859246247825
0.5537121,-0.5911104024030054
0.3096491,-1.172315558109638
0.06713705,-2.7010192264354687
0.4792669,-0.7354976342456768
0.877831,-0.1303011867899518
0.08137146,-2.508730681703804
0.8266736,-0.19034534142961618
0.02042221,-3.8911322448735537
0.424214,-0.8575172340958219
0.2302802,-1.468458450667002
0.697014,-0.36094978234012204
0.2978247,-1.2112502206001659
0.4662202,-0.7630972242758272
0.8223003,-0.19564962217499993
0.1139545,-2.171956033065366
0.7060408,-0.348082252790422
0.5679471,-0.5657269984010245
0.0008735421,-7.04295423264261
0.6138378,-0.48802455511497933
0.2676057,-1.3182406505064845
0.6393409,-0.44731747703185226
0.2902456,-1.237027817864432
0.1982033,-1.6184620073762188
0.02717174,-3.605577816372496
0.3894547,-0.9430077233875501
0.1208723,-2.1130206625832852
0.08891416,-2.420083869056016
0.5072974,-0.6786578595951083
0.07707229,-2.563011466385968
0.00962176,-4.643728078855279
0.6609031,-0.41414804594327026
0.07266604,-2.6218811287515544
0.4055138,-0.9026003739465607
0.2182085,-1.5223042512548202
0.1206355,-2.114981676479201
0.861764,-0.14877382770610326
0.2296416,-1.471235446279696
0.6511048,-0.42908466662703837
0.7332417,-0.3102798906567637
0.4042189,-0.9057987160756027
0.03537821,-3.341659185086076
0.1024385,-2.2784926604757065
0.329789,-1.109302222960485
0.1489531,-1.904123787686281
0.4190063,-0.8698693233735132
0.122415,-2.1003383673928213
0.641321,-0.4442251673787393
0.2224705,-1.5029607704355763
0.5451849,-0.6066302758015618
0.4292165,-0.8457938253485007
0.9873714,-0.012709018535343846
0.08299017,-2.4890331119343077
0.06652945,-2.710110572209754
0.2893348,-1.2401707838783205
0.5667476,-0.5678412242748367
0.1514836,-1.8872779107173392
0.1107101,-2.200840205850398
0.082195,-2.498660806020663
0.4695441,-0.7559930550324786
0.4369639,-0.8279046959944852
0.01286162,-4.35350759610025
0.09461228,-2.357968001623699
0.1073128,-2.2320073447546753
0.6551085,-0.42295440821018
0.243899,-1.411001073809668
0.03788914,-3.2730907514908196
0.03902208,-3.2436276392109615
0.1250476,-2.0790608141657545
0.03354387,-3.3949011446279824
0.4262322,-0.8527710107871558
0.9140388,-0.08988225766313093
0.7179224,-0.3313937937691892
0.7149473,-0.3355464452982781
0.3470897,-1.0581720310000964
0.3686423,-0.9979284817848232
0.06817314,-2.6857046333509382
0.2401849,-1.4263462355920624
0.2798245,-1.2735926580394574
0.6252395,-0.4696205026481044
0.9151312,-0.08868783600754718
0.1041302,-2.262113239766099
0.6810907,-0.3840597952107026
0.1060944,-2.2434260151509866
0.2040979,-1.589155498293254
0.07524854,-2.5869587775347287
0.8958031,-0.11003464462104266
0.2917839,-1.2317418191928806
0.04227938,-3.163455782231423
0.05418281,-2.9153915795135714
0.6190795,-0.4795215815879657
0.3639805,-1.010654984208968
0.6178988,-0.48143058897891133
0.1588787,-1.839614260994681
0.3963653,-0.9254190181985297
0.1314672,-2.0289978881348634
0.02346506,-3.7522427727392382
0.561284,-0.5775282626959225
0.4674979,-0.7603604222420939
0.4109173,-0.8893633012776797
0.08751728,-2.4359190194020193
0.474165,-0.7461999165944267
0.544691,-0.6075366175856304
0.1092522,-2.214096307909419
0.4718209,-0.7511558145581702
0.4362611,-0.8295143616631219
0.1579799,-1.8452874692375822
0.4588608,-0.7790083828904795
0.1911825,-1.6545268097503583
0.5304324,-0.6340627560033056
0.6205298,-0.47718164970501953
0.2345071,-1.4502694143686468
0.2396387,-1.4286229065849996
0.08704024,-2.4413847385253646
0.8818158,-0.12577208832360898
0.1333563,-2.0147307853755927
0.8705114,-0.13867442393776014
0.5168287,-0.6600437939999759
0.4754387,-0.7435173222367415
0.3810902,-0.9647191864683835
0.08926049,-2.4161963302150817
0.9081996,-0.09629110075000628
0.1328447,-2.0185745021901162
0.1575803,-1.8478201093715094
0.572681,-0.55742643631566
0.8242507,-0.19328054777375703
0.8171435,-0.20194055695062949
0.1628809,-1.8147360200949698
0.05963935,-2.8194396878706782
0.01316985,-4.329825152813449
0.3982298,-0.9207260533867276
0.2388474,-1.4319304246984008
0.1939641,-1.6400821885893506
0.05508077,-2.8989546255534573
0.4749974,-0.744445948646687
0.1282927,-2.05344090687485
0.1178844,-2.138050795714911
0.06360886,-2.7550025101624427
0.03806388,-3.2684894780116243
0.8240002,-0.19358450635424826
0.2991515,-1.2068051449517476
0.03997857,-3.219411718433511
0.4468828,-0.8054589111407392
0.08192337,-2.501970980841759
0.1145178,-2.1670250095549815
0.4378804,-0.8258094652539167
0.7364233,-0.30595018971094246
0.1508138,-1.8917093156589035
0.5220588,-0.6499750537651601
0.5871645,-0.532450259912663
0.8043115,-0.21776864702687393
0.5010028,-0.6911435890905344
0.3733146,-0.9853337831915218
0.2666553,-1.3217984658907906
0.8342419,-0.1812318707175377
0.333817,-1.0971623403514044
0.2043652,-1.587846689550645
0.01823093,-4.0046356767820255
0.7845695,-0.24262011927351296
0.1411953,-1.9576112405959707
0.2314699,-1.4633054355076611
0.2862894,-1.2507520916640702
0.1249074,-2.0801826162077446
0.6233772,-0.4726034859462208
0.2646537,-1.3293331000466049
0.068663,-2.678544798344645
0.2330128,-1.456661891303025
0.3701279,-0.9939066574002627
0.2027515,-1.5957741877402456
0.1993217,-1.6128351766067097
0.1821093,-1.7031482227124481
0.6132461,-0.4889889554234832
0.208086,-1.5698038231940263
0.9146639,-0.0891986035903867
0.3558339,-1.0332912300428805
0.5878635,-0.5312605008899769
0.4529738,-0.7919209918162979
0.6634599,-0.4102868641123801
0.144283,-1.935978630260279
0.3302372,-1.1079440948471087
0.9281287,-0.07458487046703224
0.7097374,-0.34286023651647257
0.252414,-1.3766846823414585
0.4342036,-0.834241730462229
0.1811889,-1.7082151455277688
0.4078005,-0.8969771947513127
0.1574077,-1.8489160242462017
0.147471,-1.9141237327020673
0.6836936,-0.38024541493697533
0.1478023,-1.9118797090194268
0.6678245,-0.40372986451453025
0.7966278,-0.22736771052567448
0.03073647,-3.4823053815580143
0.005752672,-5.158090836458291
0.1245268,-2.083234325198532
0.07042342,-2.653229400686141
0.8520565,-0.16010243979754354
0.2354983,-1.4460515842353712
0.1231599,-2.0942717678780993
0.7768869,-0.25246049905491186
0.538663,-0.6186651355230663
0.2664076,-1.3227278121943051
0.2278398,-1.4791125285679
0.0582293,-2.84336661450023
0.1265534,-2.0670909255008643
0.004670553,-5.366477798894325
