E_3,E_3_shifted,E_3_BoxCox
0.0,117.11,1.7370572508327136
-12.23,104.88,-0.747048151011716
-6.99,110.12,0.5585831159540491
-5.82,111.28999999999999,0.7947320755443787
-3.09,114.02,1.2783833100899578
-13.47,103.64,-1.1307902103460017
0.0,117.11,1.7370572508327136
-11.21,105.9,-0.4564032776697718
-15.97,101.14,-2.01180748266377
-1.2,115.91,1.569028183431902
-9.13,107.98,0.07947320755443787
-14.63,102.48,-1.5213442588992392
-5.51,111.6,0.8537693154419611
-11.95,105.16,-0.6675749434572781
-10.45,106.66,-0.25204360110121726
-7.57,109.53999999999999,0.43596731001291633
-12.47,104.64,-0.8197093693472021
-12.45,104.66,-0.8151680432012341
-14.71,102.4,-1.5485922157750465
-9.67,107.44,-0.05449591375161454
-7.47,109.64,0.4564032776697718
0.0,117.11,1.7370572508327136
-5.37,111.74,0.8810172723177684
-9.49,107.62,-0.006811989218951818
-7.13,109.98,0.5290644960052578
-6.76,110.35,0.6062670404867118
-10.51,106.6,-0.2679382426121048
-8.93,108.18,0.12715713208710058
-11.75,105.36,-0.6085377035596957
-8.61,108.5,0.2020890134955706
-12.03,105.08,-0.6902815741871176
-11.79,105.32,-0.6198910189246154
-5.17,111.94,0.9173478814855114
-15.57,101.53999999999999,-1.8596730567738462
-6.75,110.36,0.6085377035596957
-12.75,104.36,-0.9037239030476077
-10.99,106.12,-0.3973660377721894
-2.99,114.12,1.2965486146738292
-13.09,104.02,-1.010445067477853
-8.23,108.88,0.28837421026896026
-6.41,110.7,0.6789282588221978
-11.17,105.94,-0.447320625377836
-11.11,106.0,-0.4291553207939645
-5.74,111.37,0.8083560539822824
-11.93,105.18,-0.6607629542383263
-13.47,103.64,-1.1307902103460017
-11.18,105.93,-0.447320625377836
-8.05,109.06,0.3292461455826712
-10.41,106.7,-0.24069028573629755
0.0,117.11,1.7370572508327136
-10.53,106.58,-0.2724795687580727
-12.39,104.72,-0.7970027386173627
-4.56,112.55,1.0286103720617243
-12.99,104.12,-0.9809264475290618
-9.83,107.28,-0.0930971859923415
-10.31,106.8,-0.21571299193347424
-11.67,105.44,-0.5858310728298564
0.0,117.11,1.7370572508327136
-9.32,107.78999999999999,0.03405994609475909
-10.07,107.03999999999999,-0.15440508896290786
-11.09,106.02,-0.42461399464799665
-10.57,106.53999999999999,-0.2838328841229924
-8.69,108.42,0.18392370891169907
-14.55,102.56,-1.491825638950448
-9.96,107.15,-0.12488646901411665
-0.47,116.64,1.6734786847891632
0.0,117.11,1.7370572508327136
-8.67,108.44,0.18846503505766696
-12.03,105.08,-0.6902815741871176
-6.21,110.9,0.7175295310629248
-9.95,107.16,-0.12261580594113272
-7.17,109.94,0.522252506786306
-11.85,105.26,-0.638056323508487
-10.07,107.03999999999999,-0.15440508896290786
-5.88,111.23,0.7833787601794591
0.0,117.11,1.7370572508327136
-9.69,107.42,-0.05676657682459848
0.0,117.11,1.7370572508327136
-13.45,103.66,-1.12397822112705
-7.71,109.4,0.4041780269911412
-10.39,106.72,-0.23614895959032967
-11.87,105.24,-0.6425976496544548
-7.2,109.91,0.5131698544943702
-9.91,107.2,-0.11353315364919696
-13.11,104.0,-1.0172570566968047
0.0,117.11,1.7370572508327136
-0.21,116.9,1.7098092939569063
-2.77,114.34,1.3306085607685882
-5.12,111.99,0.9264305337774472
-11.49,105.62,-0.5358764852242096
-5.6,111.51,0.8356040108580897
-4.82,112.28999999999999,0.9831971106020456
-12.85,104.26,-0.9355131860693829
-9.65,107.46,-0.04768392453266272
-5.54,111.57,0.8469573262230093
-5.71,111.4,0.8151680432012341
-13.49,103.62,-1.1376021995649535
-12.77,104.34,-0.9105358922665596
-12.49,104.62,-0.8265213585661538
-12.45,104.66,-0.8151680432012341
-7.81,109.3,0.3814713962613018
-10.99,106.12,-0.3973660377721894
-10.47,106.64,-0.2565849272471851
-9.41,107.7,0.011353315364919696
-7.25,109.86,0.5040872022024345
-9.97,107.14,-0.12942779516008454
-14.25,102.86,-1.3896458006661707
-5.29,111.82,0.894641250755672
-13.83,103.28,-1.2488646901411666
-7.09,110.02,0.5381471482971936
-7.75,109.36,0.3950953746992054
-2.48,114.63,1.3760218222282672
-6.46,110.65,0.6675749434572781
-9.75,107.36,-0.07266121833548606
-5.19,111.92,0.9128065553395436
0.0,117.11,1.7370572508327136
-13.93,103.18,-1.2806539731629416
-11.23,105.88,-0.4632152668887236
-16.35,100.75999999999999,-2.1594005824077263
-11.59,105.52,-0.5631244421000169
-9.33,107.78,0.031789283021775146
-7.45,109.66,0.46094460381573965
-7.05,110.06,0.5472298005891293
-9.41,107.7,0.011353315364919696
0.0,117.11,1.7370572508327136
-8.39,108.72,0.25204360110121726
-14.71,102.4,-1.5485922157750465
-7.91,109.2,0.3610354286044463
-9.39,107.72,0.015894641510887573
-9.47,107.64,-0.0022706630729839392
-10.19,106.92,-0.18392370891169907
-3.21,113.9,1.2602180055060863
-8.45,108.66,0.23841962266331362
-10.99,106.12,-0.3973660377721894
-6.61,110.5,0.635785660435503
-9.31,107.8,0.03633060916774303
-13.06,104.05,-1.001362415185917
-16.13,100.98,-2.0708447225613527
-11.93,105.18,-0.6607629542383263
-9.69,107.42,-0.05676657682459848
-10.37,106.74,-0.2316076334443618
-14.41,102.7,-1.4441417144177853
-15.95,101.16,-2.002724830371834
