seedNumber_1
9
12
8
4
11
11
5
12
5
8
11
4
4
10
11
8
10
11
12
9
10
4
5
11
12
5
11
8
10
10
10
8
9
5
8
10
4
5
12
12
7
9
10
3
12
6
11
7
12
4
5
10
12
8
5
8
11
8
9
2
3
5
3
11
8
8
4
8
6
12
11
10
11
8
10
4
7
9
7
12
11
12
3
7
7
4
3
8
4
9
8
12
8
11
8
8
10
8
10
8
9
12
10
11
4
9
11
10
11
8
10
5
12
11
9
6
9
7
7
11
10
11
11
8
2
8
9
11
3
5
11
8
8
10
10
10
10
7
9
11
12
11
12
5
8
8
10
6
7
6
9
12
9
10
11
9
10
5
5
12
11
6
9
8
7
5
10
1
7
10
8
8
9
10
6
10
3
9
8
10
10
9
7
7
8
8
8
11
9
11
11
8
8
11
11
6
7
7
11
4
8
11
8
7
8
10
11
7
10
11
7
11
1
10
8
9
7
10
9
5
8
7
6
7
10
10
8
