,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
mean,-0.04511052046927219,0.03140081943236023,-0.060638888160697894,0.011716709653880998,0.15212321926016842,-0.12205521329429325,-0.023041539546097212,0.07478546625659653,0.13511652740105473,0.04767697018552613,0.1204167016338764,-0.00966704832957962,0.005373703318476479
std,1.016573143891766,1.1100268540663067,0.645835782589121,1.021682021857923,0.9195555837120243,0.9388944949997264,0.9100949658667985,0.8687438763785678,1.1210186386367242,1.0275437343693288,1.053434111195475,1.0013824404070601,0.970489132940455
