feature,mean,sd
E_1,-16.433636363636364,3.8077379729202048
Pu1_1,0.004320327646910498,0.010051096862517348
Pu2_1,0.020130970412074838,0.08487957358955446
E_hybrid_1,-27.753201581027668,5.180770269199331
seedNumber_1,8.264822134387352,2.5675453945663587
seedEbest_1,-4.846561264822134,1.727116723268934
E_3,-8.87901185770751,4.29196788261683
seedNumber_3,3.0948616600790513,1.532353879926502
E_diff_12,-7.3200790513833995,3.2610340155951976
pumin1_4u,0.35921044952608694,0.26788033909097986
pumin5_8u,0.280012564,0.24229512389902388
pumin1_4d,0.25902531360474307,0.22763132746518014
pumin5_8d,0.23648362483873517,0.22024483570552295
