Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
RandomForest,Without pumin1_4d,0.7266666666666668,0.06812020854189589,0.7266483516483516,0.09746732396879214,0.7654545454545454,0.0765797806860098,0.7388888888888889,0.049190985824841486,"[[0.06174992 0.06174992]
 [0.01645223 0.01645223]
 [0.05125659 0.05125659]
 [0.01715606 0.01715606]
 [0.06325643 0.06325643]
 [0.03614884 0.03614884]
 [0.05857833 0.05857833]
 [0.01499084 0.01499084]
 [0.02254853 0.02254853]
 [0.02148012 0.02148012]
 [0.0331988  0.0331988 ]
 [0.04699017 0.04699017]]"
GradientBoosting,Without pumin1_4d,0.7066666666666667,0.06562796262614017,0.737094017094017,0.14586876780615912,0.7036363636363636,0.09370253619436458,0.7064988558352403,0.0568595966852876,"[0.83234627 0.22474563 0.44519869 0.39931294 0.6909529  0.72584151
 1.03004776 0.03674712 0.58202808 0.16804636 0.36186696 0.86020519]"
SVM,Without pumin1_4d,0.7752380952380953,0.06293285483503093,0.7794444444444444,0.09692175793130162,0.8054545454545454,0.10501475693231747,0.7831070429697432,0.0484319918422371,"[0.08941441 0.02200986 0.00506626 0.02858867 0.1455593  0.06656522
 0.12325864 0.03163978 0.02664684 0.02917036 0.04091246 0.09844626]"
LogisticRegression,Without pumin5_8d,0.7071428571428571,0.0773424812792481,0.7133333333333334,0.10627532377953242,0.7254545454545454,0.1322906891896818,0.7097971014492753,0.08585169521280175,"[0.07950673 0.02003397 0.01191882 0.09422381 0.22511019 0.01961219
 0.11094704 0.02450874 0.05343501 0.01670458 0.08948854 0.11678957]"
RandomForest,Without pumin5_8d,0.6685714285714285,0.09236622366631872,0.6616483516483516,0.10542374000159167,0.6454545454545455,0.24325614836835732,0.6338095238095238,0.18135544082923827,"[[0.05796301 0.05796301]
 [0.01876816 0.01876816]
 [0.04940106 0.04940106]
 [0.01600189 0.01600189]
 [0.07166521 0.07166521]
 [0.03038265 0.03038265]
 [0.05517873 0.05517873]
 [0.01644667 0.01644667]
 [0.02541208 0.02541208]
 [0.01679447 0.01679447]
 [0.03345996 0.03345996]
 [0.03615329 0.03615329]]"
GradientBoosting,Without pumin5_8d,0.6299999999999999,0.12506324930422452,0.5975108225108225,0.12371810417103794,0.6872727272727273,0.22056276631448368,0.6353754940711462,0.16701936881902094,"[0.88798301 0.24796186 0.43966966 0.23758943 0.7477275  0.7179545
 0.8457414  0.02806086 0.56390466 0.28971709 0.3343425  0.63320869]"
SVM,Without pumin5_8d,0.7261904761904762,0.07125375432683483,0.7366666666666666,0.0986075899214835,0.7454545454545455,0.10041237288352056,0.7322532418001526,0.05979950368873325,"[0.09302586 0.02413855 0.00537246 0.02154971 0.13670296 0.06677582
 0.12510777 0.03327823 0.02583238 0.01801165 0.04295259 0.08302575]"
LogisticRegression,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.7057142857142857,0.08171350870981453,0.7292457542457542,0.12286291877975643,0.7254545454545455,0.07416755656134963,0.7157796451914099,0.046676376356884236,"[0.07913931 0.03604648 0.01472575 0.11742942 0.28068002 0.02134023
 0.13098751 0.03941914 0.0855073 ]"
RandomForest,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.657142857142857,0.08182997693215216,0.6564102564102563,0.08678644431305099,0.7054545454545453,0.09010553958810089,0.6739649122807018,0.06431930197814642,"[[0.06583505 0.06583505]
 [0.02099698 0.02099698]
 [0.05554657 0.05554657]
 [0.02430948 0.02430948]
 [0.08060539 0.08060539]
 [0.04057888 0.04057888]
 [0.07895767 0.07895767]
 [0.0153137  0.0153137 ]
 [0.03567719 0.03567719]]"
GradientBoosting,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.5880952380952381,0.09169603734789261,0.5973076923076923,0.09976006719082117,0.5672727272727273,0.10579881109800839,0.5776811594202899,0.09407592086353304,"[0.7744018  0.33775359 0.43904593 0.36027194 0.81611967 0.67113372
 1.0536843  0.02443087 0.71555019]"
SVM,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.7157142857142857,0.07959079015533782,0.7187393162393162,0.10525077109240258,0.7636363636363637,0.10365231137264894,0.7302159244264507,0.062127575328824555,"[0.09505066 0.03474971 0.01123326 0.03921441 0.16669317 0.06145295
 0.16453262 0.03173618 0.04464413]"
