,E_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,P_E_1,seedNumber_1,seedEbest_1,E_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,P_E_2,seedNumber_2,seedEbest_2,E_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,P_E_3,seedNumber_3,seedEbest_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
mean,-11.430146341463415,4.901365853658536,3.1889268292682935,0.005269829622320748,0.1029177718182083,-19.520439024390242,296.0565545804877,6.521951219512195,-3.5481463414634145,-11.567268292682927,4.663463414634147,3.1626341463414636,0.008618672250907577,0.1098167920279644,-19.393365853658537,159.8069898,6.253658536585366,-3.761756097560976,-9.119170731707317,39026.85565853658,39026.84629268293,0.13757769801794048,0.13787134938135512,-14.118682926829267,84.96772969268295,3.526829268292683,-3.468048780487805,-0.13712195121951223,0.28272887160975607,0.2865331175317073,0.2445939968487805,0.2720009675980392
std,3.3719530149961967,2.138406977123088,2.1380467583049323,0.012020260704574893,0.1951931969923273,4.643899572308311,1770.3951335137926,2.3960253234367066,1.620564981983795,3.2557863047165605,2.170580071759541,2.158553865893915,0.020837901258185753,0.20410227682460333,4.768488054024812,1199.568998651731,2.584654712117345,1.7181213631904362,3.370404175902809,194126.36667255408,194126.36856455306,0.20159751344672372,0.20143739674421673,4.731008962772585,1021.6522954709038,1.2269491076913739,1.886570469095629,0.5291549031480155,0.2471828239192738,0.24407519736011135,0.2083480243709905,0.2284289181977329
