,E_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,P_E_1,seedNumber_1,seedEbest_1,E_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,P_E_2,seedNumber_2,seedEbest_2,E_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,P_E_3,seedNumber_3,seedEbest_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
mean,-11.553823529411764,5.455735294117648,3.8686764705882353,0.011100554202735294,0.0783409344449858,-20.878235294117648,10284.050735161767,6.073529411764706,-3.454852941176471,-20.90955882352941,7.082205882352942,4.2075,0.0008684249182138289,0.03863528679792696,-32.19926470588235,48.48405389705882,10.735294117647058,-3.9258823529411764,-8.084117647058822,58825.76823529412,58825.76823529412,0.09564688776191178,0.09564688776191178,-12.67941176470588,50.462253544117644,3.1911764705882355,-3.0074999999999994,-9.355735294117647,0.2185883137647059,0.20794615252941173,0.2010035271617647,0.2920432721044776
std,3.0736773781758138,2.244991982950463,2.374428386459187,0.04895283642638574,0.17185140264654877,5.159190883333939,73542.60330545121,2.4084191661168646,1.3081666476603515,5.203547995623448,3.158726762945785,2.1128861035482167,0.002045793479704595,0.11183848379900256,7.158447742223081,310.01388610457997,3.934605925985562,1.117968887632292,3.4171203007988606,237042.72465727045,237042.72465727045,0.14779633271237338,0.14779633271237338,4.753609118218993,380.08466566638424,1.2608615029365269,1.704348586550771,4.159859109330748,0.21139485179885903,0.1861353478220064,0.23664153449600056,0.2949359631645515
