E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-22.13,9.11336e-6,6.11227e-5,-34.67,12,-6.41,-8.23,1.03,4,-9.310000000000002,0.1206355,0.4085739,0.9460805,0.05960158,0.19
-10.33,4.16972e-4,2.24341e-7,-23.92,7,-5.02,-6.41,9.01,2,-12.44,0.861764,0.3035084,0.07760359,0.05016753,0.05
-18.89,3.28774e-6,1.84451e-4,-31.38,9,-4.22,-11.17,5.06,4,-4.68,0.2296416,0.04747801,0.3097605,0.009329905,0
-19.93,1.63806e-6,0.00611077,-30.77,10,-5.21,-11.11,2.33,4,-9.780000000000001,0.6511048,0.0346846,0.08411561,0.3717475,0.05
-9.36,8.6583e-4,3.86608e-11,-27.62,3,-4.45,-5.74,0.46,2,-8.84,0.7332417,0.6717344,0.06848977,0.05693037,0
-15.93,1.14646e-6,7.5578e-4,-28.21,12,-6.34,-11.93,4.2,4,-9.240000000000002,0.4042189,0.09249722,0.01161707,0.05486905,0
-11.7,0.00775196,0.386134,-15.12,6,-2.43,-13.47,9.28,6,-9.34,0.03537821,0.04812869,0.2609214,0.2661049,0
-21.66,0.0112659,0.0100025,-27.01,11,-5.11,-11.18,2.63,4,-7.82,0.1024385,0.7054641,0.7648239,0.7880369,0
-19.48,0.00154291,1.66614e-6,-31.12,7,-2.5,-8.05,4.09,2,-6.599999999999998,0.329789,0.2270374,0.1299172,0.04640056,0.04
-17.67,4.46408e-6,3.73415e-5,-30.92,12,-5.13,-10.41,5.98,4,-10.2,0.1489531,0.2130526,0.2136532,0.1995129,0.04
-13.46,8.80668e-4,8.51869e-10,-29.89,4,-4.9,0,999999,0,-5.59,0.4190063,0.07066703,0.1546051,0.05164015,0
-9.87,2.56944e-5,8.96421e-10,-28.35,5,-4.77,-10.53,0.19,4,-7.119999999999999,0.122415,0.03828542,0.4565377,0.1969576,0.02
-14.26,6.59717e-4,8.80884e-6,-25.42,10,-2.07,-12.39,6.85,4,-7.750000000000002,0.641321,0.6694548,0.03458029,0.04821137,0.01
