seedNumber_1,seedNumber_1_BoxCox
9,0.16217503238635092
12,1.583855602473418
8,-0.25577679208630194
4,-1.6074080277773724
11,1.0831083617992214
11,1.0831083617992214
5,-1.3217256636213843
12,1.583855602473418
5,-1.3217256636213843
8,-0.25577679208630194
11,1.0831083617992214
4,-1.6074080277773724
4,-1.6074080277773724
10,0.6088687080787455
11,1.0831083617992214
8,-0.25577679208630194
10,0.6088687080787455
11,1.0831083617992214
12,1.583855602473418
9,0.16217503238635092
10,0.6088687080787455
4,-1.6074080277773724
5,-1.3217256636213843
11,1.0831083617992214
12,1.583855602473418
5,-1.3217256636213843
11,1.0831083617992214
8,-0.25577679208630194
10,0.6088687080787455
10,0.6088687080787455
10,0.6088687080787455
8,-0.25577679208630194
9,0.16217503238635092
5,-1.3217256636213843
8,-0.25577679208630194
10,0.6088687080787455
4,-1.6074080277773724
5,-1.3217256636213843
12,1.583855602473418
12,1.583855602473418
7,-0.6435873859767579
9,0.16217503238635092
10,0.6088687080787455
3,-1.8531656180353817
12,1.583855602473418
6,-0.9995860612277737
11,1.0831083617992214
7,-0.6435873859767579
12,1.583855602473418
4,-1.6074080277773724
5,-1.3217256636213843
10,0.6088687080787455
12,1.583855602473418
8,-0.25577679208630194
5,-1.3217256636213843
8,-0.25577679208630194
11,1.0831083617992214
8,-0.25577679208630194
9,0.16217503238635092
2,-2.053992460569141
3,-1.8531656180353817
5,-1.3217256636213843
3,-1.8531656180353817
11,1.0831083617992214
8,-0.25577679208630194
8,-0.25577679208630194
4,-1.6074080277773724
8,-0.25577679208630194
6,-0.9995860612277737
12,1.583855602473418
11,1.0831083617992214
10,0.6088687080787455
11,1.0831083617992214
8,-0.25577679208630194
10,0.6088687080787455
4,-1.6074080277773724
7,-0.6435873859767579
9,0.16217503238635092
7,-0.6435873859767579
12,1.583855602473418
11,1.0831083617992214
12,1.583855602473418
3,-1.8531656180353817
7,-0.6435873859767579
7,-0.6435873859767579
4,-1.6074080277773724
3,-1.8531656180353817
8,-0.25577679208630194
4,-1.6074080277773724
9,0.16217503238635092
8,-0.25577679208630194
12,1.583855602473418
8,-0.25577679208630194
11,1.0831083617992214
8,-0.25577679208630194
8,-0.25577679208630194
10,0.6088687080787455
8,-0.25577679208630194
10,0.6088687080787455
8,-0.25577679208630194
9,0.16217503238635092
12,1.583855602473418
10,0.6088687080787455
11,1.0831083617992214
4,-1.6074080277773724
9,0.16217503238635092
11,1.0831083617992214
10,0.6088687080787455
11,1.0831083617992214
8,-0.25577679208630194
10,0.6088687080787455
5,-1.3217256636213843
12,1.583855602473418
11,1.0831083617992214
9,0.16217503238635092
6,-0.9995860612277737
9,0.16217503238635092
7,-0.6435873859767579
7,-0.6435873859767579
11,1.0831083617992214
10,0.6088687080787455
11,1.0831083617992214
11,1.0831083617992214
8,-0.25577679208630194
2,-2.053992460569141
8,-0.25577679208630194
9,0.16217503238635092
11,1.0831083617992214
3,-1.8531656180353817
5,-1.3217256636213843
11,1.0831083617992214
8,-0.25577679208630194
8,-0.25577679208630194
10,0.6088687080787455
10,0.6088687080787455
10,0.6088687080787455
10,0.6088687080787455
7,-0.6435873859767579
9,0.16217503238635092
11,1.0831083617992214
12,1.583855602473418
11,1.0831083617992214
12,1.583855602473418
5,-1.3217256636213843
8,-0.25577679208630194
8,-0.25577679208630194
10,0.6088687080787455
6,-0.9995860612277737
7,-0.6435873859767579
6,-0.9995860612277737
9,0.16217503238635092
12,1.583855602473418
9,0.16217503238635092
10,0.6088687080787455
11,1.0831083617992214
9,0.16217503238635092
10,0.6088687080787455
5,-1.3217256636213843
5,-1.3217256636213843
12,1.583855602473418
11,1.0831083617992214
6,-0.9995860612277737
9,0.16217503238635092
8,-0.25577679208630194
7,-0.6435873859767579
5,-1.3217256636213843
10,0.6088687080787455
1,-2.201545780233576
7,-0.6435873859767579
10,0.6088687080787455
8,-0.25577679208630194
8,-0.25577679208630194
9,0.16217503238635092
10,0.6088687080787455
6,-0.9995860612277737
10,0.6088687080787455
3,-1.8531656180353817
9,0.16217503238635092
8,-0.25577679208630194
10,0.6088687080787455
10,0.6088687080787455
9,0.16217503238635092
7,-0.6435873859767579
7,-0.6435873859767579
8,-0.25577679208630194
8,-0.25577679208630194
8,-0.25577679208630194
11,1.0831083617992214
9,0.16217503238635092
11,1.0831083617992214
11,1.0831083617992214
8,-0.25577679208630194
8,-0.25577679208630194
11,1.0831083617992214
11,1.0831083617992214
6,-0.9995860612277737
7,-0.6435873859767579
7,-0.6435873859767579
11,1.0831083617992214
4,-1.6074080277773724
8,-0.25577679208630194
11,1.0831083617992214
8,-0.25577679208630194
7,-0.6435873859767579
8,-0.25577679208630194
10,0.6088687080787455
11,1.0831083617992214
7,-0.6435873859767579
10,0.6088687080787455
11,1.0831083617992214
7,-0.6435873859767579
11,1.0831083617992214
1,-2.201545780233576
10,0.6088687080787455
8,-0.25577679208630194
9,0.16217503238635092
7,-0.6435873859767579
10,0.6088687080787455
9,0.16217503238635092
5,-1.3217256636213843
8,-0.25577679208630194
7,-0.6435873859767579
6,-0.9995860612277737
7,-0.6435873859767579
10,0.6088687080787455
10,0.6088687080787455
8,-0.25577679208630194
