E_1,Pu1_1,Pu2_1,E_hybrid_1
-10.07,3.12434e-06,0.00299329,-20.95
-13.19,1.3937e-05,0.0958526,-21.15
-13.8,8.23001e-06,1.57013e-07,-29.91
-19.71,7.0629e-06,6.48761e-06,-33.72
-17.12,0.00265761,0.209445,-21.53
-12.15,0.00676665,5.1141e-06,-22.26
-14.3,0.00481704,0.00209496,-21.07
-22.35,1.01789e-06,0.000272656,-35.3
-14.21,0.00983393,0.00154291,-20.74
-12.09,4.81941e-07,2.42198e-08,-30.97
-12.09,0.00676665,0.0485755,-16.81
-15.84,3.92944e-05,1.08948e-06,-29.89
-16.33,3.31539e-05,0.0282012,-24.5
-17.65,9.83634e-05,0.000453947,-27.61
-19.38,0.00489959,0.199035,-23.46
-17.38,4.31492e-06,0.000605981,-29.01
-13.77,1.00915e-05,3.73598e-09,-31.96
-20.91,0.000605981,2.57007e-07,-34.2
-21.36,0.00031771,0.0101739,-28.8
-15.17,2.59168e-06,0.0101739,-25.44
-19.93,6.16518e-06,3.67123e-05,-33.0
-23.94,0.000648602,0.000556623,-32.67
-15.28,0.0012371,5.3842e-10,-31.78
-16.84,1.37022e-05,2.18668e-06,-31.1
-15.7,0.000120612,0.0556486,-22.71
-5.52,0.699885,0.195682,-6.69
-10.47,0.0910888,0.10796,-13.19
-20.27,1.92527e-07,0.000376555,-34.01
-20.67,0.0103482,4.31492e-06,-30.63
-20.99,0.000268062,0.000520047,-30.28
-18.95,0.000547244,6.06428e-10,-35.86
-14.22,4.06628e-07,8.09333e-08,-32.49
-16.34,7.75577e-07,0.0087311,-27.41
-18.45,0.000958762,0.00144153,-26.39
-12.06,0.0100025,3.92944e-05,-20.74
-12.28,5.56759e-06,4.46408e-06,-26.65
-16.76,1.11774e-07,6.88431e-05,-31.82
-22.63,0.000163766,1.43021e-08,-38.39
