E_1,Pu1_1,E_hybrid_1
-20.57,0.00632201,-25.83
-17.03,0.0334244,-19.47
-24.63,0.000880668,-31.62
-19.05,0.00843937,-25.59
-19.68,0.000795306,-28.08
-17.46,0.00367033,-29.01
-18.62,3.34408e-06,-31.55
-19.34,4.85993e-06,-32.05
-20.27,0.00037021,-33.1
-15.06,4.50272e-07,-28.84
-23.95,1.90874e-06,-39.92
-17.99,5.90804e-05,-31.79
-15.51,0.000469639,-29.01
-16.66,1.76801e-05,-28.54
-9.17,0.113606,-12.39
-21.69,0.00156936,-34.31
-18.24,2.6361e-06,-31.12
-12.8,4.06528e-05,-27.1
-18.83,5.20174e-06,-31.9
-13.91,1.00098e-08,-29.88
-14.75,0.00570923,-21.0
-13.62,0.0363883,-18.73
-14.56,0.000477687,-20.55
-17.78,2.75016e-05,-30.82
-18.84,1.89236e-05,-30.9
-16.43,0.000438779,-28.29
-16.51,0.000166573,-24.9
-24.06,6.76832e-05,-33.17
-15.04,0.00186002,-20.51
-16.66,0.00136988,-24.11
-18.06,4.6987e-08,-35.15
-17.3,0.000155627,-26.81
-19.92,0.000101764,-27.98
-19.37,1.41759e-05,-34.65
-17.86,1.46659e-05,-29.12
-18.55,0.00261283,-25.26
-20.96,6.21702e-05,-32.79
-22.2,1.89236e-05,-35.76
-18.86,0.0105256,-23.67
-15.62,3.54856e-05,-30.1
-19.67,1.41759e-05,-32.44
-25.3,3.92944e-05,-34.89
-20.56,2.65826e-05,-31.83
-22.25,0.00167973,-35.0
-22.51,3.45968e-06,-34.97
-20.24,7.24435e-05,-33.74
-18.21,6.76832e-05,-31.0
-14.45,0.00216738,-27.15
-16.36,0.000194098,-24.56
-14.48,0.00102619,-29.03
-13.35,6.0613e-06,-27.23
-15.1,1.51729e-05,-28.79
-18.57,0.00252553,-25.95
-5.34,4.13495e-05,-11.34
-8.51,1.92479e-05,-21.12
-18.58,5.42681e-05,-28.46
-16.05,3.86324e-05,-28.76
-16.44,0.00903293,-22.92
-12.62,7.82098e-06,-27.09
-11.22,0.0453835,-16.13
-14.54,0.000107086,-27.86
-13.17,8.0219e-05,-25.86
-13.98,0.000469639,-27.55
-21.92,0.000637674,-29.99
-11.93,3.42999e-05,-25.45
-21.61,4.46408e-06,-31.55
-9.44,0.000129095,-17.45
-16.88,0.011076,-23.2
-15.11,9.27181e-08,-29.19
-16.45,0.0190781,-23.85
-10.23,0.0566023,-12.37
-18.44,0.000153005,-26.16
-18.52,5.56759e-06,-29.09
-19.77,0.00111719,-28.97
-21.28,0.00106167,-29.63
-15.55,0.00011858,-30.65
-21.69,6.43193e-05,-31.14
-19.97,1.56974e-05,-34.22
-15.92,8.29921e-05,-26.89
-17.45,0.00654056,-24.95
-13.93,0.00037021,-27.39
-12.56,3.15061e-05,-26.4
-16.1,9.67061e-05,-27.94
-23.4,8.80884e-06,-33.84
-13.76,0.000682523,-21.87
