Model,Feature Set,Kernel,C,Gamma,Degree,Coef0,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
"SVM (kernel=sigmoid, C=0.1, gamma=auto, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,0.1,auto,3,1.0,0.6857142857142857,0.0830266465436319,0.6534090909090909,0.08639353549431007,0.8545454545454547,0.13606026860996148,0.7319347319347319,0.06872307230411498
"SVM (kernel=sigmoid, C=100, gamma=0.01, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,100.0,0.01,3,1.0,0.7142857142857142,0.07968190728895957,0.7186563436563438,0.09691448947933251,0.7545454545454546,0.04599676596608555,0.7313910533910534,0.04857652262240964
"SVM (kernel=poly, C=0.1, gamma=0.01, degree=5, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,0.01,5,1.0,0.6761904761904761,0.06998542122237651,0.6426043237807944,0.07959538702314053,0.8727272727272728,0.13606026860996148,0.7294668294668294,0.05739421552934286
"SVM (kernel=linear, C=10, gamma=scale, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",linear,10.0,scale,3,0.0,0.7142857142857142,0.06023386019368339,0.7093930905695611,0.07670042266968614,0.7690909090909092,0.12191312446720151,0.728922305764411,0.05637829988377233
"SVM (kernel=rbf, C=1000, gamma=0.001, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",rbf,1000.0,0.001,3,0.0,0.7238095238095238,0.10605265453009564,0.7254753416518123,0.1143534668936546,0.749090909090909,0.15240225156142456,0.7286094022936128,0.11206778333054092
"SVM (kernel=sigmoid, C=1, gamma=0.1, degree=3, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",sigmoid,1.0,0.1,3,0.1,0.7238095238095237,0.11818736805705575,0.7522222222222222,0.12057475525556034,0.7181818181818183,0.09689390977799442,0.7281897050318102,0.09372206216165159
"SVM (kernel=poly, C=0.01, gamma=auto, degree=3, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.01,auto,3,1.0,0.6285714285714286,0.06317380553057904,0.581312349501204,0.051984446528785457,0.9818181818181818,0.036363636363636376,0.7281481481481482,0.038656071620482235
"SVM (kernel=poly, C=0.1, gamma=auto, degree=2, coef0=0.1)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,0.1,auto,2,0.1,0.6285714285714286,0.05553287518900288,0.5807275541795666,0.04956679552005831,0.9818181818181818,0.036363636363636376,0.7278197409231891,0.03595051830818413
"SVM (kernel=poly, C=1000, gamma=0.001, degree=4, coef0=1.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,1000.0,0.001,4,1.0,0.7142857142857143,0.07968190728895956,0.697121212121212,0.0825895178971461,0.7690909090909092,0.12191312446720151,0.7275157370809545,0.0864527542909028
"SVM (kernel=poly, C=100, gamma=auto, degree=3, coef0=0.0)","E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, seedNumber_3, pumin1_4u, pumin1_4d",poly,100.0,auto,3,0.0,0.7047619047619047,0.16049809091764494,0.6865384615384615,0.13262261268897435,0.7981818181818181,0.2095567932250751,0.7271316402895349,0.14608565769485962
