Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
SVM,"E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, E_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.8016666666666667,0.0907009739014233,0.7849650349650349,0.12796438511320773,0.8045454545454547,0.0917136118207367,0.7916126482213438,0.09749708207740097
SVM,"E_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.8019999999999999,0.07341964617487914,0.8061688311688311,0.12298125303644686,0.7863636363636364,0.09611364561911337,0.7878719175561282,0.07612322629550623
SVM,"E_1, Pu1_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.8019999999999999,0.07341964617487914,0.8061688311688311,0.12298125303644686,0.7863636363636364,0.09611364561911337,0.7878719175561282,0.07612322629550623
RandomForest,"Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, E_3, pumin1_4u, pumin5_8u, pumin1_4d, pumin5_8d",0.794,0.07098200084841541,0.7803030303030303,0.12364973189759494,0.8075757575757576,0.0645675022807955,0.7878382487078139,0.06870431540865155
SVM,"E_1, Pu2_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7939999999999999,0.05535341001239218,0.766161616161616,0.08029508886467555,0.8212121212121213,0.12870763988845638,0.7846423142075316,0.06806075930978843
SVM,"E_1, Pu1_1, E_hybrid_1, seedNumber_1, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7926666666666666,0.12472903965529974,0.7672327672327672,0.14425380712168717,0.8015151515151515,0.13487401869253263,0.7819803385020776,0.13256495486534695
SVM,"E_1, Pu2_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.794,0.07098200084841541,0.7956926406926407,0.12645933059509565,0.7863636363636364,0.09611364561911337,0.7816041112883217,0.07225847693212628
SVM,"E_1, Pu1_1, Pu2_1, seedNumber_1, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7933333333333333,0.0893121865518176,0.7813519813519813,0.12746469807065117,0.7863636363636365,0.07701978804326565,0.7815335968379447,0.09344728999179987
SVM,"E_1, Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8d",0.8029999999999999,0.018779421361337697,0.8127777777777778,0.06365673091099343,0.7712121212121212,0.119341628287971,0.7813610950453056,0.038169484208980434
SVM,"E_1, Pu1_1, Pu2_1, E_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7863333333333333,0.07289566364179545,0.7623176823176823,0.09911140013971678,0.806060606060606,0.06614812106952445,0.7805144131231088,0.06939348442361717
SVM,"E_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_diff_12, pumin1_4u, pumin5_8u, pumin5_8d",0.8019999999999999,0.06892346802392088,0.8230186480186479,0.11676722203416998,0.7515151515151515,0.09133737498849413,0.7793819727183571,0.07443982207464898
SVM,"E_1, Pu2_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_diff_12, pumin1_4u, pumin5_8u, pumin5_8d",0.8019999999999999,0.06892346802392088,0.8230186480186479,0.11676722203416998,0.7515151515151515,0.09133737498849413,0.7793819727183571,0.07443982207464898
GradientBoosting,"E_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.786,0.05725770205347437,0.7623310023310023,0.09089374085934848,0.806060606060606,0.07002557580782631,0.7792705844879758,0.056528289678859846
SVM,"E_1, Pu2_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin5_8d",0.8026666666666668,0.03406855832973662,0.8306043956043956,0.10270693220732084,0.7530303030303032,0.10271788640411086,0.7789801426643532,0.03965141191902525
SVM,"E_1, Pu1_1, Pu2_1, E_hybrid_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7936666666666666,0.07642280055352882,0.7962481962481963,0.11959740119585557,0.7696969696969698,0.0774952233487541,0.7779393939393939,0.08033410490810608
SVM,"E_1, Pu2_1, seedEbest_1, E_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7936666666666666,0.08117470870494908,0.7956060606060605,0.13422600624686853,0.7863636363636364,0.14630433581300983,0.7776936513778618,0.089879029233677
SVM,"E_1, Pu1_1, seedEbest_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7776666666666666,0.053120408298296944,0.7287878787878788,0.06180629713445803,0.8393939393939395,0.10567027741916783,0.776526372178546,0.061230436528919865
SVM,"E_1, Pu2_1, seedEbest_1, E_3, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7853333333333332,0.08306891382728226,0.766060606060606,0.12967997623024943,0.8045454545454547,0.13142574813455418,0.7757797757797757,0.0908254431847927
SVM,"E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7853333333333333,0.08274055837375041,0.7579365079365079,0.0979121937351818,0.8030303030303031,0.10915402214744166,0.7756945373467112,0.08952762686570628
SVM,"E_1, Pu1_1, E_hybrid_1, seedNumber_3, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7853333333333333,0.08274055837375041,0.7579365079365079,0.0979121937351818,0.8030303030303031,0.10915402214744166,0.7756945373467112,0.08952762686570628
SVM,"E_1, Pu1_1, Pu2_1, E_hybrid_1, seedNumber_1, E_diff_12, pumin1_4u, pumin1_4d, pumin5_8d",0.7849999999999999,0.10516653460107928,0.7695804195804196,0.14203036498657245,0.7863636363636364,0.09611364561911337,0.7749459815546771,0.10956222158556009
SVM,"E_1, E_hybrid_1, seedNumber_1, seedEbest_1, E_3, E_diff_12, pumin1_4u, pumin5_8d",0.7853333333333332,0.08714865970793177,0.7726939726939727,0.1343902213228519,0.7878787878787878,0.10894350310453059,0.7738317334839073,0.09370885078088267
