feature,mean,sd
E_1,-16.814361233480177,3.7036001274882815
Pu1_1,0.003868390631323154,0.008761738178569277
Pu2_1,0.012335501150902794,0.06674260855273428
E_hybrid_1,-28.519779735682818,4.763114865884009
seedNumber_1,8.374449339207048,2.5858462661660955
seedEbest_1,-4.901762114537445,1.7201434072164448
E_3,-8.858678414096916,4.41140898343531
seedNumber_3,3.052863436123348,1.564774912092974
E_diff_12,-8.158502202643172,2.2332082271061506
pumin1_4u,0.361770028269163,0.272953540745652
pumin5_8u,0.27134841278414096,0.24185311077954863
pumin1_4d,0.2600720551057269,0.232690244042691
pumin5_8d,0.23920644922555065,0.2262980315821159
