E_diff_12,E_diff_12_BoxCox
-6.74,0.6394998620923696
-8.98,-0.36188137372272733
-11.61,-1.5575920276342206
-11.09,-1.3189353877459193
-6.78,0.6217227383111448
-6.28,0.8436942686670316
-8.15,0.010649000632871346
-7.61,0.2520423166307167
-10.35,-0.981408809189444
-7.39,0.3501837757501687
-7.88,0.13143664331368546
-11.24,-1.387644028804639
-12.47,-1.9555519300089554
-7.92,0.1135538301364739
-4.52,1.6211765141689916
-6.19,0.8835943727855263
-4.8,1.4978599259276082
-8.1,0.03303113706966634
-5.96,0.9854877953237281
-4.26,1.7355666538215813
-9.06,-0.3978913925429328
-8.28,-0.04757504480491361
-8.97,-0.357381458354477
-7.12,0.47047616773397144
-7.26,0.408123184555256
-9.54,-0.6143642445830612
-9.56,-0.6233998364377051
-6.7,0.6572735539450532
-8.0,0.07777613301515876
-9.21,-0.4654621340408723
-6.49,0.7505297937744078
-7.64,0.2386504575958133
-9.8,-0.7319306686444793
-7.73,0.1984618155122838
-3.17,2.2139491744286453
-7.0,0.5238864414348302
-7.31,0.38584341725197335
-8.26,-0.03861460978245814
-10.25,-0.9359665445655584
-9.31,-0.510547667543116
-12.44,-1.9415907226322289
-4.68,1.5507262685781382
-9.78,-0.7228790066299288
-8.84,-0.2989092646923131
-9.24,-0.47898453693371607
-9.34,-0.5240794123938282
-7.82,0.15825338351645932
-6.6,0.70169287929608
-10.2,-0.9132595621520745
-5.59,1.149187280369758
-7.12,0.47047616773397144
-7.75,0.1895283274366429
-8.3,-0.05653653851058784
-7.25,0.4125784491849956
-9.2,-0.4609552828314263
-8.04,0.059881202366601244
-7.38,0.35464204387033904
-9.16,-0.44293094577984876
-7.41,0.34126653960160996
-7.59,0.2609690207297721
-9.83,-0.7455107372735509
-7.81,0.16272197215058581
-9.05,-0.3933890956083801
-6.79,0.6172779191327155
-7.13,0.4660238556278351
-10.68,-1.131645522202347
-6.96,0.5416827501076561
-7.97,0.09119466366199137
-9.49,-0.5917809713921391
-7.33,0.3769298973822547
-5.81,1.0518841073908187
-10.18,-0.9041793789540391
-6.07,0.9367692362772764
-7.76,0.18506121607078257
-9.27,-0.4925097251083332
-7.33,0.3769298973822547
-10.19,-0.9087192849232861
-6.73,0.6439436061364946
-10.05,-0.8451940372703673
-11.28,-1.4059842210733369
-6.91,0.5639231770729756
