Y
0
0.21
0.04
0.01
0
0.01
0.03
0.01
0.02
0.09
0.01
0.04
0.02
0.14
0
0.02
0.06
0.1
0.02
0
0.37
0.01
0.02
0.03
0.01
0.05
0.03
0.21
0.14
0.2
0.15
0.21
0.01
0
0.03
0.14
0
0.08
0.01
0.19
0.05
0
0.05
0
0
0
0
0.04
0.04
0
0.02
0.01
0.18
0
0
0.03
0.22
0.19
0.09
0
0.03
0.06
0.07
0.42
0.01
0.09
0.03
0.09
0.09
0.21
0.08
0.33
0.24
0.01
0.07
0.07
0.01
0.03
0.03
0.46
0.19
0.06
0.08
0.08
0.03
0.09
0.03
0.09
0
0.13
0
0.1
0.02
0.14
0
0.02
0.16
0.49
0
0
0.01
0.21
0.63
0.03
0
0.11
0.16
0.09
0.2
0.32
0.1
0.03
0.18
0.17
0.12
0.1
0.04
0.12
0
0
0
0.12
0.13
0.09
0.07
0
0.01
0.02
0.03
0.01
0.05
0.21
0.01
0.02
0.05
0
0.05
0.02
0.16
0.14
0.14
0.09
0.16
0.07
0
0.16
0.07
0.05
0.01
0.34
0.04
0.2
0.38
0.02
0.02
0.07
0.04
0
0.07
0.05
0
0.36
0.02
0
0
0.02
0.02
0.2
0.01
0.09
0.01
0.01
0.07
0.22
0.04
0.01
0.04
0.02
0.02
0.25
0.07
0.03
0.01
0.09
0.03
0.01
0.01
0.01
0.02
0
0.02
0.01
0.06
0
0
0
0.18
0
0.16
0
0
0
0.01
0.01
0.54
0.03
0.04
0.05
0.06
0.04
0.07
0.04
0.06
0.13
0.05
0.08
0.07
0.07
0.19
0.02
0.18
0.37
0.03
0.03
0.03
0.1
0.11
0.26
0.29
0.14
