pumin1_4d,pumin1_4d_log
0.1700909,-1.771422278953774
0.201514,-1.6018964211007582
0.3209332,-1.1365222771963395
0.01547363,-4.168617994217393
0.0845975,-2.469850563634017
0.08933259,-2.415388908069531
0.5980952,-0.5140053403776399
0.0751754,-2.587931229203842
0.0793222,-2.5342372399612625
0.03166403,-3.4525739426741695
0.1536928,-1.8727994740371021
0.04966439,-3.0024671016815976
0.3496356,-1.0508638097215313
0.3253707,-1.1227901312752866
0.1823994,-1.7015564908210006
0.203493,-1.5921236727255113
0.0601579,-2.8107825068647068
0.3388479,-1.0822039448517116
0.1742488,-1.7472711160223187
0.05463199,-2.9071356703662707
0.395822,-0.9267906637302893
0.6260772,-0.4682815928019495
0.179737,-1.7162606076667668
0.4456874,-0.8081374695660981
0.03821439,-3.26454313273315
0.05048142,-2.9861499311923625
0.04210991,-3.167472174070143
0.0283407,-3.563456344954073
0.1334552,-2.013989437985922
0.04573199,-3.0849572259677047
0.08522924,-2.462410711535676
0.3530015,-1.0412829727660837
0.2679765,-1.3168559888831364
0.01508714,-4.193912553655092
0.3294341,-1.110378945042242
0.2357635,-1.444926095057192
0.2305867,-1.4671283484392759
0.0790618,-2.537525453854433
0.07905414,-2.5376223447815085
0.9460805,-0.05542761841322389
0.07760359,-2.5561415899764603
0.3097605,-1.171955860742335
0.08411561,-2.475563116860848
0.06848977,-2.681070887932437
0.01161707,-4.455279710816892
0.2609214,-1.343536066439325
0.7648239,-0.2681096677332166
0.1299172,-2.0408579545251486
0.2136532,-1.5434011392368923
0.1546051,-1.8668811550158688
0.4565377,-0.7840839974720633
0.03458029,-3.364471412411666
0.5071413,-0.6789656159952379
0.2927647,-1.2283860642722244
0.07124596,-2.6416171631953684
0.08653774,-2.4471746596176907
0.2805681,-1.2709388027371997
0.7527458,-0.28402769117754
0.5703905,-0.5614340649997087
0.07647938,-2.5707341169664115
0.1356832,-1.9974325223110032
0.357455,-1.0287457988967614
0.0474013,-3.049105624496859
0.4673576,-0.7606605755835534
0.2784241,-1.2786097881765464
0.009715631,-4.634019247155429
0.4355419,-0.8311642760661501
0.2444808,-1.4086185007580263
0.1920993,-1.6497428531497156
0.1470569,-1.916935692267605
0.1448464,-1.9320814083721396
0.05577351,-2.8864562534981917
0.2273269,-1.481366209327447
0.009252842,-4.6828245314040995
0.1443879,-1.93525185104826
0.02207435,-3.8133389779992406
0.2086186,-1.5672475745228154
0.05402559,-2.918297455778852
0.1979291,-1.6198463932219238
0.7817117,-0.24626927648907257
0.2913992,-1.2330611305919938
0.1588874,-1.8395595037376786
0.3708363,-0.9919945536418513
0.3660337,-1.0050298733168195
0.07263753,-2.622273548571189
0.1857779,-1.683203404779189
0.9147253,-0.08913147736047013
0.2108931,-1.5564039089600723
0.2507437,-1.3833239770818424
0.04756359,-3.045687726408636
0.06251391,-2.772366187002584
0.1225634,-2.0991268318602843
0.04415536,-3.120040954997563
0.3600727,-1.0214493234755715
0.02635113,-3.6362441206637945
0.07233654,-2.6264258832951772
0.4147256,-0.8801381822630279
0.07999143,-2.525835775046548
0.03056149,-3.488014559327876
0.1196698,-2.1230189956607477
0.5742967,-0.5546091172541135
0.1884896,-1.6687124460299183
0.4481405,-0.8026484796629639
0.1201574,-2.1189527290166583
0.6008962,-0.5093330715098124
0.07770119,-2.554884706410498
0.05951569,-2.8215153037136305
0.2363986,-1.4422359156335507
0.3498353,-1.05029280668073
0.6318793,-0.4590568840871337
0.601749,-0.5079148641400292
0.3751031,-0.9805543574656359
0.2874291,-1.2467790578533087
0.05433676,-2.912554301347492
0.4293251,-0.8455408381884627
0.06319492,-2.7615313608067855
0.310117,-1.1708056333528758
0.1822725,-1.7022524589234085
0.03770274,-3.278022508124073
0.08164688,-2.5053516721757307
0.4030667,-0.9086532220456418
0.1264387,-2.067997673244045
0.1838244,-1.693774324879066
0.900407,-0.10490839565725649
0.1818966,-1.7043168852215356
0.08675931,-2.444617546028809
0.1011556,-2.2910953535790752
0.1118646,-2.190466067602104
0.4789175,-0.7362269302256289
0.1618892,-1.8208431283679631
0.1667936,-1.7909981590981676
0.1169365,-2.1461242265610907
0.01667758,-4.093689976510082
0.2817552,-1.2667166701544794
0.1659279,-1.7962019223267793
0.3667343,-1.0031176713279784
0.3375461,-1.0860531854048787
0.6621605,-0.4122473053007753
0.2853145,-1.254163198359806
0.05931239,-2.8249370571974826
0.3681446,-0.9992794832092523
0.6390125,-0.4478312629805956
0.2336645,-1.4538689531265492
0.05044012,-2.9869683888240135
0.1275363,-2.059354249022332
0.2245091,-1.4938390381001716
0.354287,-1.0376479598527493
0.2348366,-1.4488653258333872
0.4905691,-0.7121891332424306
0.1508041,-1.891773635448965
0.3277875,-1.115389746407421
0.03937962,-3.234506855386024
0.2145586,-1.5391723844514138
0.03849452,-3.2572393854817028
0.1059577,-2.244715321118119
0.4330229,-0.8369646655420789
0.1394667,-1.969929415893826
0.4134345,-0.8832561809350166
0.09532724,-2.3504396749570304
0.2798085,-1.2736498383701538
0.1683346,-1.7818016136507224
0.4783984,-0.7373114208329132
0.09607928,-2.3425815949936912
0.1601914,-1.8313859286852359
0.18854,-1.6684450930141328
0.1603059,-1.8306714140551825
0.660205,-0.41520488612913575
0.5967326,-0.516286172127134
0.7571421,-0.27820432849773713
0.05056246,-2.9845458752638634
0.5227507,-0.6486506016020763
0.1117962,-2.191077708105334
0.07636675,-2.5722078869648537
0.3266287,-1.1189312272300145
0.6845496,-0.3789941752280121
0.3476235,-1.056635281431924
0.2402741,-1.4259749239878472
0.09761183,-2.326756583891916
0.5878635,-0.5312605008899769
0.09806368,-2.3221382154191548
0.02899309,-3.5406977532499355
0.09588891,-2.344564945072728
0.3237286,-1.1278497685392168
0.08332084,-2.485056581027127
0.1747781,-1.7442381096508437
0.4815403,-0.730765354465444
0.8812619,-0.12640042140073135
0.4949288,-0.7033413651430176
0.3202885,-1.138533126851733
0.826589,-0.19044768451785132
0.04470504,-3.107669032040754
0.1470048,-1.917290039675276
0.4482531,-0.8023972507372058
0.0567728,-2.868697941190876
0.2874618,-1.246665297137892
0.2553719,-1.3650343649292873
0.01393443,-4.2733925230828875
0.03060365,-3.4866359960914686
0.01346106,-4.307954206008965
0.1252505,-2.077439547009163
0.01598708,-4.135974382946099
0.6852783,-0.37793024585595386
0.9795687,-0.020642906231662792
0.1372076,-1.9862601716385142
0.004427356,-5.419952712833943
0.08065756,-2.5175427404283885
0.2661375,-1.323742186462926
0.07980991,-2.5281075967730913
0.7971804,-0.22667427699691842
0.7047712,-0.34988206785114095
0.3465144,-1.0598309027741488
0.6499419,-0.43087230470288174
0.03913965,-3.2406192593127483
0.1501809,-1.8959147115197263
0.6107669,-0.49303989833068057
0.976238,-0.024048869837206405
0.07751844,-2.5572394354411228
0.8702348,-0.13899221868845724
0.7885076,-0.2376132340712777
0.2987744,-1.2080665054313595
0.1103815,-2.2038127316447444
0.1096526,-2.210438092589055
0.07809849,-2.5497845565103443
0.02695178,-3.613705935570743
0.6673171,-0.4044899337452805
0.2841158,-1.2583733774480634
0.05685779,-2.8672020409082384
