Feature,Group,Mean,Std,Weight_Percentage,Correlation
pumin1_4d,EXTRA,0.2600720551057269,0.23269024404269098,15.6,0.24414541824859148
pumin5_8d,EXTRA,0.23920644922555068,0.2262980315821159,12.63,0.19767541461945057
pumin5_8u,EXTRA,0.27134841278414096,0.2418531107795486,2.4,-0.03761758986942453
pumin1_4u,EXTRA,0.361770028269163,0.272953540745652,4.65,-0.07269938212328188
E_diff_12,EXTRA,-8.158502202643172,2.2332082271061506,7.02,-0.10981704589890479
seedNumber_1,GROUP_1,8.374449339207048,2.5858462661660955,17.97,0.2812102971473875
Pu2_1,GROUP_1,0.012335501150902792,0.06674260855273428,1.76,0.027493280839916603
E_hybrid_1,GROUP_1,-28.519779735682818,4.763114865884009,1.61,0.0251324758250097
Pu1_1,GROUP_1,0.0038683906313231545,0.008761738178569276,1.05,0.016364764345554818
seedEbest_1,GROUP_1,-4.901762114537445,1.7201434072164445,8.24,-0.12895688906762265
E_1,GROUP_1,-16.814361233480174,3.7036001274882815,10.2,-0.15963444349869002
seedNumber_3,GROUP_3,3.052863436123348,1.564774912092974,9.19,0.1438890391065893
E_3,GROUP_3,-8.858678414096916,4.41140898343531,7.69,-0.12035727025896815
