pumin5_8u,pumin5_8u_log
0.05688992,-2.8666371064431044
0.1396673,-1.968492113132185
0.1163663,-2.151012304503831
0.9554258,-0.04559817399482325
0.1002735,-2.2998538263010317
0.16576,-1.7972143199110189
0.2330864,-1.4563460787008504
0.08235215,-2.4967507146240093
0.8030332,-0.21935922093364107
0.5776791,-0.5487367547963863
0.136092,-1.9944241513609433
0.8209182,-0.19733180908552547
0.1766228,-1.733738893822889
0.1853952,-1.6852655161531707
0.2311176,-1.4648286070940653
0.0286424,-3.552867141517941
0.696541,-0.3616286217374392
0.1772293,-1.7303109045928091
0.04954818,-3.0048097494559007
0.04234508,-3.161903039367237
0.0306562,-3.4849203532066175
0.7027952,-0.35268975251608126
0.08241462,-2.4959924306205865
0.627174,-0.4665312648868158
0.3116083,-1.1660083286265592
0.7826716,-0.2450420834853277
0.0770423,-2.5634006573169312
0.2477718,-1.3952471177157562
0.09235515,-2.3821138077845587
0.7502605,-0.28733479942470597
0.1562359,-1.8563882344374998
0.6464432,-0.43626994232522054
0.08550011,-2.4592376164905425
0.1323423,-2.0223635310721404
0.8430271,-0.17075617440327537
0.1171768,-2.1440713736527814
0.1009511,-2.293119037799249
0.04414122,-3.1203612392060993
0.06667799,-2.7078803655250883
0.4085739,-0.895082475290798
0.3035084,-1.1923459917650938
0.04747801,-3.04748862250318
0.0346846,-3.3614594945740635
0.6717344,-0.3978922546813882
0.09249722,-2.3805766889694437
0.04812869,-3.033876813988916
0.7054641,-0.34889939488052674
0.2270374,-1.482640517362544
0.2130526,-1.5462161954026308
0.07066703,-2.6497761514820177
0.03828542,-3.2626861341232996
0.6694548,-0.4012916291994745
0.2311249,-1.4647970219412478
0.5599846,-0.579845995631074
0.3127823,-1.1622478575897601
0.1172563,-2.1433931417559418
0.01955963,-3.9342875307097978
0.2685747,-1.3146261914365776
0.1154838,-2.1586250185978657
0.0358455,-3.3285372428277324
0.2303399,-1.4681992348823052
0.568258,-0.5651797380379802
0.2284893,-1.4762658968777813
0.5338062,-0.6277224272421473
0.2047251,-1.586087175365875
0.1147355,-2.1651257996815625
0.3701565,-0.9938293897987457
0.06815727,-2.6859374500801136
0.2384021,-1.4337965351049067
0.1998927,-1.60997455640172
0.2430677,-1.414415273620546
0.1718986,-1.7608505108964225
0.1236663,-2.090168470006776
0.00986248,-4.6190176206955975
0.3933981,-0.9329332027287245
0.1118085,-2.190967692528627
0.4942838,-0.7046454328255498
0.06643466,-2.7115363707362623
0.4308069,-0.8420953171150778
0.3109759,-1.1680398617669747
0.1479222,-1.9110688191095955
0.0220921,-3.8125352004280018
0.004233709,-5.464676837965396
0.7477696,-0.29066036984636623
0.05978863,-2.816939769882534
0.1398534,-1.9671605478670917
0.01488784,-4.207210506610199
0.6078613,-0.4978085480404357
0.1853312,-1.685610784257281
0.1950263,-1.634620857717901
0.04756359,-3.045687726408636
0.8026928,-0.21978320361200496
0.07933595,-2.534063911329428
0.06013704,-2.811129321123213
0.5187676,-0.6562992803019174
0.1704575,-1.7692692801928835
0.3227876,-1.1307607572027378
0.03179381,-3.448483662231622
0.5171612,-0.6594006542334059
0.1644952,-1.8048738885337423
