Feature,Model,MAE,MSE,RMSE,R2
E_1_Qtransformed,LinearRegression,0.08425823662412467,0.01719336300922619,0.13112346475450604,-0.06798598357040664
E_1_Qtransformed,DecisionTree,0.12576086956521743,0.03971141304347826,0.19927722660524522,-1.4667211699916627
E_1_Qtransformed,RandomForest,0.10830094202898552,0.02678468027693237,0.16366025869749923,-0.6637619466783959
E_1_Qtransformed,GradientBoosting,0.1085271979884511,0.02939318308831434,0.17144440232423552,-0.8257921695710913
E_1_Qtransformed,SVR,0.09728113555131981,0.017226487130761005,0.1312497128787755,-0.0700435273736919
E_1_Qtransformed,KNN,0.08556521739130434,0.01900713043478261,0.13786634990012106,-0.18065028239963365
E_1_Qtransformed,MLP,0.07903334388170062,0.017160557483303453,0.13099831099408668,-0.06594822970862069
E_3_BoxCox,LinearRegression,0.08616440068217622,0.016297214054131724,0.12766054227572327,-0.01232063626641633
E_3_BoxCox,DecisionTree,0.10978260869565215,0.02504315619967794,0.15825029604925844,-0.5555851284747635
E_3_BoxCox,RandomForest,0.10302601497990496,0.021307371691388643,0.14597044800708342,-0.32353247592787837
E_3_BoxCox,GradientBoosting,0.10162617790095084,0.02255574868410584,0.1501857139814098,-0.4010768824362678
E_3_BoxCox,SVR,0.0939938427527598,0.016551869215629244,0.12865406801041793,-0.02813884140622913
E_3_BoxCox,KNN,0.10004347826086957,0.02176530434782609,0.14753068951179646,-0.35197750196681676
E_3_BoxCox,MLP,0.07763460161264048,0.016678215317010536,0.12914416485854302,-0.035986978229815
E_diff_12_Qtransformed,LinearRegression,0.08286978387032186,0.015592760071755769,0.12487097369587445,0.03143735214132892
E_diff_12_Qtransformed,DecisionTree,0.12652173913043474,0.03441630434782608,0.18551631827908316,-1.137809259889858
E_diff_12_Qtransformed,RandomForest,0.10152209627329192,0.023208225591396778,0.15234246155093062,-0.4416062536370131
E_diff_12_Qtransformed,GradientBoosting,0.09959593333141288,0.0232508577491819,0.15248231946419855,-0.4442544003049711
E_diff_12_Qtransformed,SVR,0.09452815595183603,0.015966155625849326,0.12635725395025538,0.008243447732666498
E_diff_12_Qtransformed,KNN,0.0859565217391304,0.01688826086956522,0.12995484165495805,-0.04903420499512712
E_diff_12_Qtransformed,MLP,0.08836365150254336,0.01681790408546234,0.12968386208569802,-0.04466391052564811
E_hybrid_1_Qtransformed,LinearRegression,0.08448532189459539,0.016085620505649115,0.12682909960119212,0.0008227460882799242
E_hybrid_1_Qtransformed,DecisionTree,0.09293478260869564,0.018007065217391306,0.1341904065773381,-0.11853005413148887
E_hybrid_1_Qtransformed,RandomForest,0.08452637163561078,0.013980044555662775,0.11823723844738077,0.13161307493329177
E_hybrid_1_Qtransformed,GradientBoosting,0.07972529995926204,0.013129981538251493,0.11458613152668823,0.18441573996512117
E_hybrid_1_Qtransformed,SVR,0.09519326007882689,0.016445536346495142,0.12824015107015097,-0.021533850063516935
E_hybrid_1_Qtransformed,KNN,0.08069565217391304,0.014736173913043476,0.12139264357053715,0.08464520977419787
E_hybrid_1_Qtransformed,MLP,0.08680948627685794,0.01729430297489001,0.13150780575650256,-0.07425598836546565
Pu1_1_BoxCox,LinearRegression,0.08586878245407578,0.016006718454211772,0.1265176606415554,0.005723839897839866
Pu1_1_BoxCox,DecisionTree,0.09326086956521741,0.021736956521739133,0.14743458387277775,-0.35021664337799296
Pu1_1_BoxCox,RandomForest,0.08616763198757764,0.017858761053605014,0.13363667555579573,-0.10931796641229785
Pu1_1_BoxCox,GradientBoosting,0.08791717511779748,0.018544766896806623,0.13617917203745447,-0.1519300269378372
Pu1_1_BoxCox,SVR,0.0945662626271332,0.0162107371378283,0.1273213930878401,-0.006949020808469486
Pu1_1_BoxCox,KNN,0.07695652173913042,0.013393739130434784,0.11573132303069375,0.1680321266277608
Pu1_1_BoxCox,MLP,0.10865186828494382,0.019394330785954622,0.1392635299924378,-0.20470168803001232
Pu2_1_log,LinearRegression,0.08381775812613826,0.015802579007018168,0.1257083092202666,0.018404201975903756
Pu2_1_log,DecisionTree,0.10818840579710144,0.027689975845410626,0.16640305239210795,-0.7199954466402334
Pu2_1_log,RandomForest,0.09121063146997932,0.019937315622020113,0.14119955956737298,-0.23842983033108744
Pu2_1_log,GradientBoosting,0.09105383740147166,0.02036542990250508,0.14270749770949345,-0.265022652845154
Pu2_1_log,SVR,0.09555730045489108,0.016910051995515433,0.13003865577402526,-0.0503877864363238
Pu2_1_log,KNN,0.08069565217391304,0.016586782608695658,0.12878968362681717,-0.03030752791705349
Pu2_1_log,MLP,0.08700179664768118,0.016229324652859086,0.1273943666449152,-0.008103606186073309
pumin1_4d_Qtransformed,LinearRegression,0.08293155103800175,0.01532247604206635,0.12378398944155238,0.0482263628273899
pumin1_4d_Qtransformed,DecisionTree,0.14195652173913043,0.043232608695652174,0.20792452644085108,-1.6854443831241266
pumin1_4d_Qtransformed,RandomForest,0.11635869565217391,0.026948235869565233,0.1641591784505674,-0.6739213948545739
pumin1_4d_Qtransformed,GradientBoosting,0.1064934345181303,0.02563082568432271,0.16009630128245533,-0.5920889103256946
pumin1_4d_Qtransformed,SVR,0.09556195659086267,0.01654456827270401,0.12862569056259332,-0.02768533474166257
pumin1_4d_Qtransformed,KNN,0.09195652173913045,0.017541826086956525,0.1324455589552044,-0.0896311778589296
pumin1_4d_Qtransformed,MLP,0.09878997228856494,0.016479362381534253,0.12837196883094942,-0.02363499405042324
pumin1_4u_Qtransformed,LinearRegression,0.08576063020157564,0.016320053446976766,0.12774996456741883,-0.013739332039818697
